parent_dir,primary_bin,media_type,old_name,created_year,created_month,created_day,created_hour,created_minute,created_second,parsed_year,parsed_month,parsed_day,parsed_counter,pre_name,post_name,descriptor,day_match,ext,new_name,old_path,new_path
McGill-Pictures,McGill,Picture,McGill-2012-02|12-3.JPG,2012,2,12,12,27,13,2012,2,12,3,McGill-2012-02|12,3.JPG,,,.JPG,McGill-2012-02-12 12.27.13.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-02|12-3.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-02-12 12.27.13.jpg
McGill-Pictures,McGill,Picture,McGill-2014-05|03-Visit_to_Boston-10.jpg,2014,5,4,14,14,8,2014,5,3,10,McGill-2014-05|03,10.jpg,Visit_to_Boston,-Visit_to_Boston,.jpg,McGill-2014-05-03 00.00.10-Visit_to_Boston.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05|03-Visit_to_Boston-10.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05-03 00.00.10-Visit_to_Boston.jpg
McGill-Pictures,McGill,Picture,McGill-2012-05|17-Orford-5.JPG,2013,5,16,22,47,18,2012,5,17,5,McGill-2012-05|17,5.JPG,Orford,-Orford,.JPG,McGill-2012-05-17 00.00.05-Orford.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05|17-Orford-5.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05-17 00.00.05-Orford.jpg
McGill-Pictures,McGill,Picture,McGill-2012-05|17-Orford-4.JPG,2013,5,16,22,47,8,2012,5,17,4,McGill-2012-05|17,4.JPG,Orford,-Orford,.JPG,McGill-2012-05-17 00.00.04-Orford.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05|17-Orford-4.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05-17 00.00.04-Orford.jpg
McGill-Pictures,McGill,Picture,McGill-2015-04|09-Pink_Puffs_2nd_Place-1.jpg,2015,4,14,10,25,25,2015,4,9,1,McGill-2015-04|09,1.jpg,Pink_Puffs_2nd_Place,-Pink_Puffs_2nd_Place,.jpg,McGill-2015-04-09 00.00.01-Pink_Puffs_2nd_Place.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2015-04|09-Pink_Puffs_2nd_Place-1.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2015-04-09 00.00.01-Pink_Puffs_2nd_Place.jpg
McGill-Pictures,McGill,Picture,McGill-2014-05|03-Visit_to_Boston-11.jpg,2014,5,4,14,46,46,2014,5,3,11,McGill-2014-05|03,11.jpg,Visit_to_Boston,-Visit_to_Boston,.jpg,McGill-2014-05-03 00.00.11-Visit_to_Boston.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05|03-Visit_to_Boston-11.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05-03 00.00.11-Visit_to_Boston.jpg
McGill-Pictures,McGill,Picture,McGill-2014-05|03-Visit_to_Boston-39.jpg,2014,5,4,17,3,22,2014,5,3,39,McGill-2014-05|03,39.jpg,Visit_to_Boston,-Visit_to_Boston,.jpg,McGill-2014-05-03 00.00.39-Visit_to_Boston.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05|03-Visit_to_Boston-39.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05-03 00.00.39-Visit_to_Boston.jpg
McGill-Pictures,McGill,Picture,McGill-2012-02|12-2.JPG,2012,2,12,12,27,10,2012,2,12,2,McGill-2012-02|12,2.JPG,,,.JPG,McGill-2012-02-12 12.27.10.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-02|12-2.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-02-12 12.27.10.jpg
McGill-Pictures,McGill,Picture,McGill-2012-05|17-Orford-40.JPG,2013,5,17,0,33,17,2012,5,17,40,McGill-2012-05|17,40.JPG,Orford,-Orford,.JPG,McGill-2012-05-17 00.00.40-Orford.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05|17-Orford-40.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05-17 00.00.40-Orford.jpg
McGill-Pictures,McGill,Picture,McGill-2014-11|02-Katie_Dinner-10.jpg,2014,11,2,21,35,43,2014,11,2,10,McGill-2014-11|02,10.jpg,Katie_Dinner,-Katie_Dinner,.jpg,McGill-2014-11-02 21.35.43-Katie_Dinner-10.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-11|02-Katie_Dinner-10.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-11-02 21.35.43-Katie_Dinner-10.jpg
