Year,Area,V Grade,Days,Sessions,Distinct Boulders,Completed,Flashed,Total Attempts,Total Minutes,Completion Rate,Success Rate,Flash Rate,Bounty Extra Soft,Soft,Hard,FA
2023,All Areas,2.0,2,2,2,2,1,4,11,1.000,1.000,0.500,0,0,0,0
2022,All Areas,All Grades,51,155,124,90,27,1207,5221,0.726,0.581,0.218,0,15,9,2
2022,All Areas,11.0,8,8,3,1,0,165,795,0.333,0.125,0.000,0,0,0,0
2022,All Areas,10.0,10,11,9,2,0,130,570,0.222,0.182,0.000,0,2,0,0
2022,All Areas,9.0,13,14,11,2,0,111,490,0.182,0.143,0.000,0,2,0,0
2022,All Areas,8.0,14,17,13,10,0,150,686,0.769,0.588,0.000,0,7,0,0
2022,All Areas,7.0,12,13,9,6,0,132,620,0.667,0.462,0.000,0,1,1,0
2022,All Areas,6.0,20,25,19,16,0,236,1135,0.842,0.640,0.000,0,0,3,2
2022,All Areas,5.5,3,3,1,0,0,45,135,0.000,0.000,0.000,0,0,0,0
2022,All Areas,5.0,11,11,11,8,2,49,148,0.727,0.727,0.182,0,1,1,0
2022,All Areas,4.0,15,17,14,13,6,82,336,0.929,0.765,0.429,0,1,2,0
2022,All Areas,3.0,13,19,17,15,7,77,231,0.882,0.789,0.412,0,1,0,0
2022,All Areas,2.0,6,6,6,6,3,17,63,1.000,1.000,0.500,0,0,2,0
2022,All Areas,1.0,4,5,5,5,5,5,5,1.000,1.000,1.000,0,0,0,0
2022,All Areas,0.0,6,6,6,6,4,8,7,1.000,1.000,0.667,0,0,0,0
2021,All Areas,All Grades,15,35,33,20,4,300,1249,0.606,0.571,0.121,0,1,1,0
2021,All Areas,10.0,6,6,4,0,0,60,210,0.000,0.000,0.000,0,0,0,0
2021,All Areas,9.0,3,3,3,1,0,40,225,0.333,0.333,0.000,0,0,0,0
2021,All Areas,8.0,4,4,4,2,0,60,225,0.500,0.500,0.000,0,0,0,0
2021,All Areas,7.0,6,8,8,6,0,78,340,0.750,0.750,0.000,0,0,1,0
2021,All Areas,6.0,4,4,4,3,0,33,130,0.750,0.750,0.000,0,1,0,0
2021,All Areas,5.0,3,3,3,2,0,13,45,0.667,0.667,0.000,0,0,0,0
2021,All Areas,4.0,3,3,3,3,2,7,22,1.000,1.000,0.667,0,0,0,0
2021,All Areas,3.0,3,3,3,2,2,7,47,0.667,0.667,0.667,0,0,0,0
2021,All Areas,0.0,1,1,1,1,0,2,5,1.000,1.000,0.000,0,0,0,0
2020,All Areas,All Grades,10,26,21,16,2,127,508,0.762,0.615,0.095,0,0,0,1
2020,All Areas,10.0,1,1,1,0,0,15,60,0.000,0.000,0.000,0,0,0,0
