Year,Area,V Grade,Days,Sessions,Distinct Boulders,Completed,Flashed,Total Attempts,Total Minutes,Completion Rate,Success Rate,Flash Rate,Bounty Extra Soft,Soft,Hard,FA
2024,Brione,5.5,1,2,2,1,1,3,6,0.500,0.500,0.500,0,0,0,0
2024,Brione,5.0,2,2,2,1,0,13,40,0.500,0.500,0.000,0,0,0,0
2024,Brione,4.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,1,0
All-Time,Castle Rock,All Grades,52,115,86,76,12,932,3768,0.884,0.661,0.140,0,7,4,4
All-Time,Castle Rock,10.0,5,5,3,0,0,55,200,0.000,0.000,0.000,0,0,0,0
All-Time,Castle Rock,9.0,6,11,5,3,0,130,620,0.600,0.273,0.000,0,0,0,0
All-Time,Castle Rock,8.0,10,13,9,9,0,175,605,1.000,0.692,0.000,0,2,0,0
All-Time,Castle Rock,7.0,18,24,16,13,1,181,751,0.813,0.542,0.063,0,1,1,2
All-Time,Castle Rock,6.0,11,11,10,9,1,88,381,0.900,0.818,0.100,0,3,0,1
All-Time,Castle Rock,5.0,13,20,14,13,2,140,569,0.929,0.650,0.143,0,1,1,1
All-Time,Castle Rock,4.0,11,15,13,13,2,109,474,1.000,0.867,0.154,0,0,2,0
All-Time,Castle Rock,3.0,7,8,8,8,1,43,143,1.000,1.000,0.125,0,0,0,0
All-Time,Castle Rock,2.0,3,4,4,4,3,5,13,1.000,1.000,0.750,0,0,0,0
All-Time,Castle Rock,1.0,3,3,3,3,2,4,7,1.000,1.000,0.667,0,0,0,0
All-Time,Castle Rock,0.0,1,1,1,1,0,2,5,1.000,1.000,0.000,0,0,0,0
2026,Castle Rock,All Grades,3,3,3,2,0,13,60,0.667,0.667,0.000,0,0,0,1
2026,Castle Rock,7.0,2,2,2,1,0,8,40,0.500,0.500,0.000,0,0,0,1
2026,Castle Rock,6.0,1,1,1,1,0,5,20,1.000,1.000,0.000,0,0,0,0
2025,Castle Rock,All Grades,1,2,2,2,0,7,25,1.000,1.000,0.000,0,0,0,1
2025,Castle Rock,7.0,1,1,1,1,0,5,20,1.000,1.000,0.000,0,0,0,1
2025,Castle Rock,4.0,1,1,1,1,0,2,5,1.000,1.000,0.000,0,0,0,0
2021,Castle Rock,All Grades,10,17,15,10,0,191,725,0.667,0.588,0.000,0,1,1,0
2021,Castle Rock,10.0,5,5,3,0,0,55,200,0.000,0.000,0.000,0,0,0,0
2021,Castle Rock,9.0,1,1,1,1,0,15,75,1.000,1.000,0.000,0,0,0,0
2021,Castle Rock,8.0,2,2,2,2,0,40,120,1.000,1.000,0.000,0,0,0,0
2021,Castle Rock,7.0,4,5,5,3,0,60,260,0.600,0.600,0.000,0,0,1,0
2021,Castle Rock,6.0,2,2,2,2,0,14,55,1.000,1.000,0.000,0,1,0,0
2021,Castle Rock,5.0,1,1,1,1,0,5,10,1.000,1.000,0.000,0,0,0,0
2021,Castle Rock,0.0,1,1,1,1,0,2,5,1.000,1.000,0.000,0,0,0,0
2020,Castle Rock,All Grades,6,20,16,14,1,83,312,0.875,0.700,0.063,0,0,0,1
2020,Castle Rock,8.0,1,1,1,1,0,10,20,1.000,1.000,0.000,0,0,0,0
2020,Castle Rock,7.0,3,6,5,4,0,27,125,0.800,0.667,0.000,0,0,0,1
2020,Castle Rock,5.0,4,8,5,4,0,33,132,0.800,0.500,0.000,0,0,0,0
2020,Castle Rock,4.0,3,3,3,3,0,10,32,1.000,1.000,0.000,0,0,0,0
2020,Castle Rock,3.0,1,1,1,1,0,2,2,1.000,1.000,0.000,0,0,0,0
2020,Castle Rock,2.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2016,Castle Rock,All Grades,4,5,5,4,0,38,165,0.800,0.800,0.000,0,1,0,0
2016,Castle Rock,9.0,1,1,1,1,0,10,45,1.000,1.000,0.000,0,0,0,0
2016,Castle Rock,8.0,2,2,2,2,0,20,75,1.000,1.000,0.000,0,1,0,0
2016,Castle Rock,7.0,1,1,1,1,0,5,25,1.000,1.000,0.000,0,0,0,0
2016,Castle Rock,6.0,1,1,1,0,0,3,20,0.000,0.000,0.000,0,0,0,0
2015,Castle Rock,All Grades,2,5,2,2,0,45,270,1.000,0.400,0.000,0,1,0,0
2015,Castle Rock,8.0,1,3,1,1,0,25,150,1.000,0.333,0.000,0,1,0,0
2015,Castle Rock,5.0,1,2,1,1,0,20,120,1.000,0.500,0.000,0,0,0,0
2014,Castle Rock,All Grades,1,1,1,0,0,10,60,0.000,0.000,0.000,0,0,0,0
2014,Castle Rock,9.0,1,1,1,0,0,10,60,0.000,0.000,0.000,0,0,0,0
2013,Castle Rock,All Grades,3,6,4,4,0,37,155,1.000,0.667,0.000,0,0,0,0
2013,Castle Rock,8.0,1,1,1,1,0,10,30,1.000,1.000,0.000,0,0,0,0
2013,Castle Rock,7.0,1,2,1,1,0,15,60,1.000,0.500,0.000,0,0,0,0
2013,Castle Rock,5.0,1,2,1,1,0,10,60,1.000,0.500,0.000,0,0,0,0
2013,Castle Rock,1.0,1,1,1,1,0,2,5,1.000,1.000,0.000,0,0,0,0
2012,Castle Rock,All Grades,6,18,18,16,6,108,361,0.889,0.889,0.333,0,0,1,2
2012,Castle Rock,9.0,1,1,1,0,0,5,20,0.000,0.000,0.000,0,0,0,0
2012,Castle Rock,7.0,2,2,2,1,1,11,21,0.500,0.500,0.500,0,0,0,0
2012,Castle Rock,6.0,2,2,2,2,0,25,105,1.000,1.000,0.000,0,0,0,1
2012,Castle Rock,5.0,2,2,2,2,1,16,46,1.000,1.000,0.500,0,0,0,1
2012,Castle Rock,4.0,3,3,3,3,1,26,91,1.000,1.000,0.333,0,0,1,0
2012,Castle Rock,3.0,4,5,5,5,1,21,66,1.000,1.000,0.200,0,0,0,0
2012,Castle Rock,2.0,2,3,3,3,2,4,12,1.000,1.000,0.667,0,0,0,0
2011,Castle Rock,All Grades,8,18,11,10,2,177,817,0.909,0.556,0.182,0,2,1,0
2011,Castle Rock,9.0,2,7,2,2,0,90,420,1.000,0.286,0.000,0,0,0,0
2011,Castle Rock,8.0,1,1,1,1,0,10,45,1.000,1.000,0.000,0,0,0,0
2011,Castle Rock,7.0,2,3,2,2,0,30,135,1.000,0.667,0.000,0,1,0,0
2011,Castle Rock,6.0,2,2,2,1,1,11,61,0.500,0.500,0.500,0,1,0,0
2011,Castle Rock,5.0,2,2,2,2,1,6,21,1.000,1.000,0.500,0,0,0,0
2011,Castle Rock,4.0,2,3,2,2,0,30,135,1.000,0.667,0.000,0,0,1,0
2010,Castle Rock,All Grades,7,18,15,14,2,212,772,0.933,0.778,0.133,0,2,1,0
2010,Castle Rock,8.0,2,3,2,2,0,60,165,1.000,0.667,0.000,0,0,0,0
2010,Castle Rock,7.0,2,2,2,1,0,20,65,0.500,0.500,0.000,0,0,0,0
2010,Castle Rock,6.0,3,3,3,3,0,30,120,1.000,1.000,0.000,0,1,0,0
2010,Castle Rock,5.0,2,3,2,2,0,50,180,1.000,0.667,0.000,0,1,1,0
2010,Castle Rock,4.0,2,5,4,4,1,41,211,1.000,0.800,0.250,0,0,0,0
2010,Castle Rock,3.0,1,1,1,1,0,10,30,1.000,1.000,0.000,0,0,0,0
2010,Castle Rock,1.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2009,Castle Rock,All Grades,1,2,2,2,1,11,46,1.000,1.000,0.500,0,0,0,0
2009,Castle Rock,3.0,1,1,1,1,0,10,45,1.000,1.000,0.000,0,0,0,0
2009,Castle Rock,1.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
All-Time,Chironico,All Grades,2,4,4,3,0,21,115,0.750,0.750,0.000,0,0,1,0
All-Time,Chironico,7.5,2,2,2,1,0,13,75,0.500,0.500,0.000,0,0,0,0
All-Time,Chironico,6.0,2,2,2,2,0,8,40,1.000,1.000,0.000,0,0,1,0
2024,Chironico,All Grades,2,4,4,3,0,21,115,0.750,0.750,0.000,0,0,1,0
2024,Chironico,7.5,2,2,2,1,0,13,75,0.500,0.500,0.000,0,0,0,0
2024,Chironico,6.0,2,2,2,2,0,8,40,1.000,1.000,0.000,0,0,1,0
All-Time,Columbia College,All Grades,2,2,2,0,0,30,180,0.000,0.000,0.000,0,0,0,0
All-Time,Columbia College,6.0,1,1,1,0,0,20,120,0.000,0.000,0.000,0,0,0,0
All-Time,Columbia College,5.0,1,1,1,0,0,10,60,0.000,0.000,0.000,0,0,0,0
2023,Columbia College,All Grades,2,2,2,0,0,30,180,0.000,0.000,0.000,0,0,0,0
2023,Columbia College,6.0,1,1,1,0,0,20,120,0.000,0.000,0.000,0,0,0,0
2023,Columbia College,5.0,1,1,1,0,0,10,60,0.000,0.000,0.000,0,0,0,0
All-Time,Cresciano,All Grades,1,2,2,2,0,13,40,1.000,1.000,0.000,0,0,0,0
All-Time,Cresciano,9.0,1,1,1,1,0,10,30,1.000,1.000,0.000,0,0,0,0
All-Time,Cresciano,3.0,1,1,1,1,0,3,10,1.000,1.000,0.000,0,0,0,0
2024,Cresciano,All Grades,1,2,2,2,0,13,40,1.000,1.000,0.000,0,0,0,0
2024,Cresciano,9.0,1,1,1,1,0,10,30,1.000,1.000,0.000,0,0,0,0
2024,Cresciano,3.0,1,1,1,1,0,3,10,1.000,1.000,0.000,0,0,0,0
All-Time,Doolin,All Grades,1,7,7,6,5,17,70,0.857,0.857,0.714,0,0,1,0
All-Time,Doolin,6.0,1,1,1,0,0,10,60,0.000,0.000,0.000,0,0,0,0
All-Time,Doolin,5.0,1,2,2,2,2,2,2,1.000,1.000,1.000,0,0,0,0
All-Time,Doolin,4.0,1,3,3,3,2,4,7,1.000,1.000,0.667,0,0,0,0
All-Time,Doolin,3.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,1,0
2024,Doolin,All Grades,1,7,7,6,5,17,70,0.857,0.857,0.714,0,0,1,0
2024,Doolin,6.0,1,1,1,0,0,10,60,0.000,0.000,0.000,0,0,0,0
2024,Doolin,5.0,1,2,2,2,2,2,2,1.000,1.000,1.000,0,0,0,0
2024,Doolin,4.0,1,3,3,3,2,4,7,1.000,1.000,0.667,0,0,0,0
2024,Doolin,3.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,1,0
All-Time,Duncan,All Grades,1,4,4,2,0,27,100,0.500,0.500,0.000,0,1,0,0
All-Time,Duncan,9.0,1,2,2,1,0,20,80,0.500,0.500,0.000,0,1,0,0
All-Time,Duncan,7.0,1,1,1,0,0,5,15,0.000,0.000,0.000,0,0,0,0
All-Time,Duncan,5.0,1,1,1,1,0,2,5,1.000,1.000,0.000,0,0,0,0
2024,Duncan,All Grades,1,4,4,2,0,27,100,0.500,0.500,0.000,0,1,0,0
2024,Duncan,9.0,1,2,2,1,0,20,80,0.500,0.500,0.000,0,1,0,0
2024,Duncan,7.0,1,1,1,0,0,5,15,0.000,0.000,0.000,0,0,0,0
2024,Duncan,5.0,1,1,1,1,0,2,5,1.000,1.000,0.000,0,0,0,0
All-Time,El Paso,All Grades,1,1,1,1,0,5,15,1.000,1.000,0.000,0,0,0,0
All-Time,El Paso,6.0,1,1,1,1,0,5,15,1.000,1.000,0.000,0,0,0,0
2026,El Paso,All Grades,1,1,1,1,0,5,15,1.000,1.000,0.000,0,0,0,0
2026,El Paso,6.0,1,1,1,1,0,5,15,1.000,1.000,0.000,0,0,0,0
All-Time,Fort Ross,All Grades,5,13,4,1,0,46,300,0.250,0.077,0.000,0,0,0,0
All-Time,Fort Ross,8.0,4,8,2,0,0,24,160,0.000,0.000,0.000,0,0,0,0
All-Time,Fort Ross,6.0,5,5,2,1,0,22,140,0.500,0.200,0.000,0,0,0,0
2016,Fort Ross,All Grades,1,3,3,0,0,9,60,0.000,0.000,0.000,0,0,0,0
2016,Fort Ross,8.0,1,2,2,0,0,6,40,0.000,0.000,0.000,0,0,0,0
2016,Fort Ross,6.0,1,1,1,0,0,3,20,0.000,0.000,0.000,0,0,0,0
2015,Fort Ross,All Grades,1,3,3,0,0,9,60,0.000,0.000,0.000,0,0,0,0
2015,Fort Ross,8.0,1,2,2,0,0,6,40,0.000,0.000,0.000,0,0,0,0
2015,Fort Ross,6.0,1,1,1,0,0,3,20,0.000,0.000,0.000,0,0,0,0
2013,Fort Ross,All Grades,1,3,3,0,0,9,60,0.000,0.000,0.000,0,0,0,0
2013,Fort Ross,8.0,1,2,2,0,0,6,40,0.000,0.000,0.000,0,0,0,0
2013,Fort Ross,6.0,1,1,1,0,0,3,20,0.000,0.000,0.000,0,0,0,0
2012,Fort Ross,All Grades,1,3,3,0,0,9,60,0.000,0.000,0.000,0,0,0,0
2012,Fort Ross,8.0,1,2,2,0,0,6,40,0.000,0.000,0.000,0,0,0,0
2012,Fort Ross,6.0,1,1,1,0,0,3,20,0.000,0.000,0.000,0,0,0,0
2011,Fort Ross,All Grades,1,1,1,1,0,10,60,1.000,1.000,0.000,0,0,0,0
2011,Fort Ross,6.0,1,1,1,1,0,10,60,1.000,1.000,0.000,0,0,0,0
All-Time,Hueco Tanks,All Grades,52,179,145,113,37,1153,4772,0.779,0.631,0.255,0,24,9,1
All-Time,Hueco Tanks,11.0,4,4,3,0,0,27,95,0.000,0.000,0.000,0,0,0,0
All-Time,Hueco Tanks,10.0,11,13,8,3,0,130,585,0.375,0.231,0.000,0,3,0,0
All-Time,Hueco Tanks,9.0,16,17,14,4,0,139,635,0.286,0.235,0.000,0,3,0,0
All-Time,Hueco Tanks,8.0,23,27,19,15,0,233,1117,0.789,0.556,0.000,0,7,1,0
All-Time,Hueco Tanks,7.0,18,21,16,14,2,163,742,0.875,0.667,0.125,0,5,1,0
All-Time,Hueco Tanks,6.0,17,19,17,15,2,134,515,0.882,0.789,0.118,0,1,2,1
All-Time,Hueco Tanks,5.5,3,3,1,0,0,45,135,0.000,0.000,0.000,0,0,0,0
All-Time,Hueco Tanks,5.0,18,20,19,17,5,96,405,0.895,0.850,0.263,0,2,1,0
All-Time,Hueco Tanks,4.0,18,23,18,16,8,96,370,0.889,0.696,0.444,0,2,2,0
All-Time,Hueco Tanks,3.0,12,16,14,13,7,70,139,0.929,0.813,0.500,0,1,1,0
All-Time,Hueco Tanks,2.0,8,8,8,8,6,11,26,1.000,1.000,0.750,0,0,1,0
All-Time,Hueco Tanks,1.0,3,4,4,4,4,4,4,1.000,1.000,1.000,0,0,0,0
All-Time,Hueco Tanks,0.0,4,4,4,4,3,5,4,1.000,1.000,0.750,0,0,0,0
2026,Hueco Tanks,All Grades,8,19,19,14,1,140,751,0.737,0.737,0.053,0,4,1,0
2026,Hueco Tanks,9.0,1,1,1,0,0,5,15,0.000,0.000,0.000,0,0,0,0
2026,Hueco Tanks,8.0,4,4,4,2,0,32,170,0.500,0.500,0.000,0,2,0,0
2026,Hueco Tanks,7.0,3,4,4,3,0,33,215,0.750,0.750,0.000,0,1,0,0
2026,Hueco Tanks,6.0,3,5,5,4,0,25,120,0.800,0.800,0.000,0,1,0,0
2026,Hueco Tanks,5.0,2,2,2,2,0,34,190,1.000,1.000,0.000,0,0,0,0
2026,Hueco Tanks,4.0,3,3,3,3,1,11,41,1.000,1.000,0.333,0,0,1,0
2024,Hueco Tanks,All Grades,6,16,15,12,5,95,430,0.800,0.750,0.333,0,1,0,0
2024,Hueco Tanks,10.0,1,1,1,0,0,5,15,0.000,0.000,0.000,0,0,0,0
2024,Hueco Tanks,9.0,2,2,2,1,0,18,90,0.500,0.500,0.000,0,0,0,0
2024,Hueco Tanks,8.0,5,5,4,3,0,52,275,0.750,0.600,0.000,0,1,0,0
2024,Hueco Tanks,7.0,2,2,2,2,0,10,30,1.000,1.000,0.000,0,0,0,0
2024,Hueco Tanks,6.0,1,1,1,1,0,5,15,1.000,1.000,0.000,0,0,0,0
2024,Hueco Tanks,5.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2024,Hueco Tanks,4.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2024,Hueco Tanks,3.0,2,2,2,2,2,2,2,1.000,1.000,1.000,0,0,0,0
2024,Hueco Tanks,0.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2023,Hueco Tanks,All Grades,7,23,21,14,5,100,426,0.667,0.609,0.238,0,3,0,0
2023,Hueco Tanks,11.0,2,2,2,0,0,7,20,0.000,0.000,0.000,0,0,0,0
2023,Hueco Tanks,9.0,1,2,2,0,0,13,35,0.000,0.000,0.000,0,0,0,0
2023,Hueco Tanks,8.0,3,5,4,3,0,34,151,0.750,0.600,0.000,0,1,0,0
2023,Hueco Tanks,7.0,2,2,1,1,0,8,30,1.000,0.500,0.000,0,0,0,0
2023,Hueco Tanks,6.0,2,2,2,1,1,6,21,0.500,0.500,0.500,0,0,0,0
2023,Hueco Tanks,5.0,3,4,4,3,1,9,61,0.750,0.750,0.250,0,1,0,0
2023,Hueco Tanks,4.0,2,3,3,3,2,17,92,1.000,1.000,0.667,0,1,0,0
2023,Hueco Tanks,3.0,1,1,1,1,0,2,5,1.000,1.000,0.000,0,0,0,0
2023,Hueco Tanks,2.0,2,2,2,2,1,4,11,1.000,1.000,0.500,0,0,0,0
2022,Hueco Tanks,All Grades,23,90,72,52,17,657,2661,0.722,0.578,0.236,0,13,4,1
2022,Hueco Tanks,11.0,2,2,2,0,0,20,75,0.000,0.000,0.000,0,0,0,0
2022,Hueco Tanks,10.0,8,9,7,2,0,95,450,0.286,0.222,0.000,0,2,0,0
2022,Hueco Tanks,9.0,11,11,8,2,0,93,435,0.250,0.182,0.000,0,2,0,0
2022,Hueco Tanks,8.0,8,10,8,7,0,90,431,0.875,0.700,0.000,0,5,0,0
2022,Hueco Tanks,7.0,6,7,4,3,0,85,395,0.750,0.429,0.000,0,1,1,0
2022,Hueco Tanks,6.0,8,8,6,6,0,84,325,1.000,0.750,0.000,0,0,1,1
2022,Hueco Tanks,5.5,3,3,1,0,0,45,135,0.000,0.000,0.000,0,0,0,0
2022,Hueco Tanks,5.0,8,8,8,6,2,34,102,0.750,0.750,0.250,0,1,0,0
2022,Hueco Tanks,4.0,9,11,8,7,2,58,212,0.875,0.636,0.250,0,1,1,0
2022,Hueco Tanks,3.0,7,11,10,9,5,41,82,0.900,0.818,0.500,0,1,0,0
2022,Hueco Tanks,2.0,3,3,3,3,2,4,12,1.000,1.000,0.667,0,0,1,0
2022,Hueco Tanks,1.0,3,4,4,4,4,4,4,1.000,1.000,1.000,0,0,0,0
2022,Hueco Tanks,0.0,3,3,3,3,2,4,3,1.000,1.000,0.667,0,0,0,0
2018,Hueco Tanks,All Grades,8,31,29,26,9,161,504,0.897,0.839,0.310,0,6,5,0
2018,Hueco Tanks,10.0,2,3,2,2,0,30,120,1.000,0.667,0.000,0,2,0,0
2018,Hueco Tanks,9.0,1,1,1,1,0,10,60,1.000,1.000,0.000,0,1,0,0
2018,Hueco Tanks,8.0,3,3,3,3,0,25,90,1.000,1.000,0.000,0,0,1,0
2018,Hueco Tanks,7.0,5,6,6,5,2,27,72,0.833,0.833,0.333,0,3,0,0
2018,Hueco Tanks,6.0,3,3,3,3,1,14,34,1.000,1.000,0.333,0,0,1,0
2018,Hueco Tanks,5.0,4,5,5,5,1,18,51,1.000,1.000,0.200,0,0,1,0
2018,Hueco Tanks,4.0,3,5,4,3,2,9,24,0.750,0.600,0.500,0,0,1,0
2018,Hueco Tanks,3.0,2,2,2,1,0,25,50,0.500,0.500,0.000,0,0,1,0
2018,Hueco Tanks,2.0,3,3,3,3,3,3,3,1.000,1.000,1.000,0,0,0,0
All-Time,Joe's Valley,All Grades,13,47,42,33,11,291,1422,0.786,0.702,0.262,2,6,4,0
All-Time,Joe's Valley,11.0,1,1,1,0,0,10,30,0.000,0.000,0.000,0,0,0,0
All-Time,Joe's Valley,10.0,2,4,2,1,0,65,320,0.500,0.250,0.000,0,1,0,0
All-Time,Joe's Valley,9.0,3,4,3,3,0,40,210,1.000,0.750,0.000,0,3,0,0
All-Time,Joe's Valley,8.0,3,3,3,0,0,9,35,0.000,0.000,0.000,0,0,0,0
All-Time,Joe's Valley,7.0,8,9,8,5,1,46,272,0.625,0.556,0.125,2,0,0,0
All-Time,Joe's Valley,6.0,8,10,9,8,1,71,396,0.889,0.800,0.111,0,2,2,0
All-Time,Joe's Valley,5.0,5,8,8,8,3,37,128,1.000,1.000,0.375,0,0,0,0
All-Time,Joe's Valley,4.0,3,3,3,3,2,6,17,1.000,1.000,0.667,0,0,2,0
All-Time,Joe's Valley,3.0,3,4,4,4,4,4,4,1.000,1.000,1.000,0,0,0,0
All-Time,Joe's Valley,2.0,1,1,1,1,0,3,10,1.000,1.000,0.000,0,0,0,0
2017,Joe's Valley,All Grades,6,25,21,15,5,198,965,0.714,0.600,0.238,0,3,1,0
2017,Joe's Valley,11.0,1,1,1,0,0,10,30,0.000,0.000,0.000,0,0,0,0
2017,Joe's Valley,10.0,1,3,1,1,0,60,300,1.000,0.333,0.000,0,1,0,0
2017,Joe's Valley,9.0,2,3,2,2,0,30,150,1.000,0.667,0.000,0,2,0,0
2017,Joe's Valley,8.0,2,2,2,0,0,4,15,0.000,0.000,0.000,0,0,0,0
2017,Joe's Valley,7.0,4,5,4,2,0,37,215,0.500,0.400,0.000,0,0,0,0
2017,Joe's Valley,6.0,3,3,3,2,0,30,165,0.667,0.667,0.000,0,0,1,0
2017,Joe's Valley,5.0,2,3,3,3,0,22,85,1.000,1.000,0.000,0,0,0,0
2017,Joe's Valley,4.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2017,Joe's Valley,3.0,3,4,4,4,4,4,4,1.000,1.000,1.000,0,0,0,0
2016,Joe's Valley,All Grades,7,22,21,18,6,93,457,0.857,0.818,0.286,2,3,3,0
2016,Joe's Valley,10.0,1,1,1,0,0,5,20,0.000,0.000,0.000,0,0,0,0
2016,Joe's Valley,9.0,1,1,1,1,0,10,60,1.000,1.000,0.000,0,1,0,0
2016,Joe's Valley,8.0,1,1,1,0,0,5,20,0.000,0.000,0.000,0,0,0,0
2016,Joe's Valley,7.0,4,4,4,3,1,9,57,0.750,0.750,0.250,2,0,0,0
2016,Joe's Valley,6.0,5,7,6,6,1,41,231,1.000,0.857,0.167,0,2,1,0
2016,Joe's Valley,5.0,3,5,5,5,3,15,43,1.000,1.000,0.600,0,0,0,0
2016,Joe's Valley,4.0,2,2,2,2,1,5,16,1.000,1.000,0.500,0,0,2,0
2016,Joe's Valley,2.0,1,1,1,1,0,3,10,1.000,1.000,0.000,0,0,0,0
All-Time,Kananaskis,All Grades,1,3,3,3,1,5,8,1.000,1.000,0.333,0,2,0,1
All-Time,Kananaskis,6.0,1,2,2,2,1,3,6,1.000,1.000,0.500,0,2,0,1
All-Time,Kananaskis,2.0,1,1,1,1,0,2,2,1.000,1.000,0.000,0,0,0,0
2025,Kananaskis,All Grades,1,3,3,3,1,5,8,1.000,1.000,0.333,0,2,0,1
2025,Kananaskis,6.0,1,2,2,2,1,3,6,1.000,1.000,0.500,0,2,0,1
2025,Kananaskis,2.0,1,1,1,1,0,2,2,1.000,1.000,0.000,0,0,0,0
All-Time,Leavenworth,All Grades,7,32,31,17,9,187,879,0.548,0.531,0.290,0,3,3,0
All-Time,Leavenworth,10.0,2,2,2,0,0,20,105,0.000,0.000,0.000,0,0,0,0
All-Time,Leavenworth,9.0,2,2,2,1,0,15,80,0.500,0.500,0.000,0,1,0,0
All-Time,Leavenworth,8.0,6,9,8,2,0,85,385,0.250,0.222,0.000,0,2,0,0
All-Time,Leavenworth,7.0,2,2,2,0,0,25,120,0.000,0.000,0.000,0,0,0,0
All-Time,Leavenworth,6.0,2,2,2,1,0,8,85,0.500,0.500,0.000,0,0,0,0
All-Time,Leavenworth,5.0,3,3,3,1,0,13,50,0.333,0.333,0.000,0,0,0,0
All-Time,Leavenworth,4.0,4,7,7,7,4,16,49,1.000,1.000,0.571,0,0,1,0
All-Time,Leavenworth,3.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
All-Time,Leavenworth,1.0,2,2,2,2,2,2,2,1.000,1.000,1.000,0,0,1,0
All-Time,Leavenworth,0.0,2,2,2,2,2,2,2,1.000,1.000,1.000,0,0,1,0
2018,Leavenworth,All Grades,7,32,31,17,9,187,879,0.548,0.531,0.290,0,3,3,0
2018,Leavenworth,10.0,2,2,2,0,0,20,105,0.000,0.000,0.000,0,0,0,0
2018,Leavenworth,9.0,2,2,2,1,0,15,80,0.500,0.500,0.000,0,1,0,0
2018,Leavenworth,8.0,6,9,8,2,0,85,385,0.250,0.222,0.000,0,2,0,0
2018,Leavenworth,7.0,2,2,2,0,0,25,120,0.000,0.000,0.000,0,0,0,0
2018,Leavenworth,6.0,2,2,2,1,0,8,85,0.500,0.500,0.000,0,0,0,0
2018,Leavenworth,5.0,3,3,3,1,0,13,50,0.333,0.333,0.000,0,0,0,0
2018,Leavenworth,4.0,4,7,7,7,4,16,49,1.000,1.000,0.571,0,0,1,0
2018,Leavenworth,3.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2018,Leavenworth,1.0,2,2,2,2,2,2,2,1.000,1.000,1.000,0,0,1,0
2018,Leavenworth,0.0,2,2,2,2,2,2,2,1.000,1.000,1.000,0,0,1,0
All-Time,Magic Wood,All Grades,1,6,6,2,2,40,267,0.333,0.333,0.333,0,0,0,0
All-Time,Magic Wood,9.0,1,1,1,0,0,10,120,0.000,0.000,0.000,0,0,0,0
All-Time,Magic Wood,8.0,1,1,1,0,0,5,15,0.000,0.000,0.000,0,0,0,0
All-Time,Magic Wood,7.5,1,1,1,0,0,20,120,0.000,0.000,0.000,0,0,0,0
All-Time,Magic Wood,6.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
All-Time,Magic Wood,4.5,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
All-Time,Magic Wood,0.0,1,1,1,0,0,3,10,0.000,0.000,0.000,0,0,0,0
2024,Magic Wood,All Grades,1,6,6,2,2,40,267,0.333,0.333,0.333,0,0,0,0
2024,Magic Wood,9.0,1,1,1,0,0,10,120,0.000,0.000,0.000,0,0,0,0
2024,Magic Wood,8.0,1,1,1,0,0,5,15,0.000,0.000,0.000,0,0,0,0
2024,Magic Wood,7.5,1,1,1,0,0,20,120,0.000,0.000,0.000,0,0,0,0
2024,Magic Wood,6.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2024,Magic Wood,4.5,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2024,Magic Wood,0.0,1,1,1,0,0,3,10,0.000,0.000,0.000,0,0,0,0
All-Time,Mammoth,All Grades,3,4,4,4,0,48,245,1.000,1.000,0.000,0,0,1,0
All-Time,Mammoth,8.0,1,1,1,1,0,25,120,1.000,1.000,0.000,0,0,1,0
All-Time,Mammoth,7.0,2,2,2,2,0,20,120,1.000,1.000,0.000,0,0,0,0
All-Time,Mammoth,3.0,1,1,1,1,0,3,5,1.000,1.000,0.000,0,0,0,0
2017,Mammoth,All Grades,3,4,4,4,0,48,245,1.000,1.000,0.000,0,0,1,0
2017,Mammoth,8.0,1,1,1,1,0,25,120,1.000,1.000,0.000,0,0,1,0
2017,Mammoth,7.0,2,2,2,2,0,20,120,1.000,1.000,0.000,0,0,0,0
2017,Mammoth,3.0,1,1,1,1,0,3,5,1.000,1.000,0.000,0,0,0,0
All-Time,Mickey's Beach,All Grades,2,3,3,3,1,23,126,1.000,1.000,0.333,0,1,0,0
All-Time,Mickey's Beach,8.0,1,1,1,1,0,20,120,1.000,1.000,0.000,0,1,0,0
All-Time,Mickey's Beach,6.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
All-Time,Mickey's Beach,4.0,1,1,1,1,0,2,5,1.000,1.000,0.000,0,0,0,0
