name,genre,seasons,episodes,episode_length,episodes_per_season,approx_runtime_hours,peak,consistency,premise,plot,information_gain,desired_effects,wit,length,timelessness,adjustment,overall_grade
"""Wild Wild Country""","""documentary""",1,6,65,6.00,6.50,55,40,,,,,,,,,47.5
"""Da Ali G Show""","""comedy""",2,23,22,11.50,8.43,65,30,,,,,,,,,47.5
"""Community""","""comedy""",6,110,22,18.33,40.33,55,35,,,,,,,,,45.0
"""Man Seeking Woman""","""comedy""",3,30,22,10.00,11.00,45,45,,,,,,,,,45.0
"""The Increasingly Poor Decisions Of Todd Margaret""","""comedy""",3,18,22,6.00,6.60,50,40,,,,,,,,,45.0
"""Undeclared""","""comedy""",1,18,22,18.00,6.60,50,40,,,,,,,,,45.0
"""Eastbound and Down""","""comedy""",4,28,28,7.00,13.07,50,40,,,,,,,,,45.0
"""Drunk History""","""comedy""",5,55,22,11.00,20.17,50,40,,,,,,,,,45.0
"""Flight of the Conchords""","""comedy""",2,22,25,11.00,9.17,60,30,,,,,,,,,45.0
"""The Franchise""","""documentary""",1,8,30,8.00,4.00,45,45,,,,,,,,,45.0
"""Trailer Park Boys""","""comedy""",12,105,22,8.75,38.50,60,30,,,,,,,,,45.0
"""Human Giant""","""comedy""",3,44,22,14.67,16.13,60,25,,,,,,,,,42.5
"""Tim And Eric Awesome Show, Great Job!""","""comedy""",5,50,11,10.00,9.17,55,30,,,,,,,,,42.5
"""We Can Be Heroes""","""comedy""",1,6,28,6.00,2.80,45,40,,,,,,,,,42.5
"""Louie""","""comedy""",5,61,22,12.20,22.37,45,40,,,,,,,,,42.5
"""Stella""","""comedy""",1,10,22,10.00,3.67,60,25,,,,,,,,,42.5
"""Jonah From Tonga""","""comedy""",1,6,22,6.00,2.20,45,40,,,,,,,,,42.5
"""John Safran Vs. God""","""documentary""",1,8,22,8.00,2.93,40,45,,,,,,,,,42.5
"""ESPN 30 For 30 Soccer Stories""","""documentary""",1,8,35,8.00,4.67,45,40,,,,,,,,,42.5
"""Master of None""","""comedy""",1,10,27,10.00,4.50,45,40,,,,,,,,,42.5
"""BBC Human Planet""","""documentary""",1,8,48,8.00,6.40,55,25,,,,,,,,,40.0
"""Entourage""","""drama""",8,96,25,12.00,40.00,50,30,,,,,,,,,40.0
