name,year,est_year_watched,genre,sub_genre,movie_length,peak,consistency,premise,plot,information_gain,desired_effects,wit,length,timelessness,adjustment,overall_grade
"""Central Intelligence""",2016,2018,"""comedy""","""action""",107,60,40,40,30,30,50,60,60,40,,45.8
"""Chasing Mavericks""",2012,2015,"""drama""","""biography""",116,40,50,40,40,30,50,40,50,40,,42.5
"""Children Who Chase Lost Voices""",2011,2017,"""animated""","""adventure""",116,70,60,70,70,50,70,50,50,70,,63.3
"""CHiPs""",2017,2018,"""comedy""","""crime""",100,50,60,30,30,30,60,60,60,40,,46.7
"""City Of God""",2002,2018,"""crime""","""drama""",130,80,70,70,70,70,70,50,50,70,,68.3
"""Clerks""",1994,2013,"""comedy""","""""",92,60,60,50,60,40,60,70,70,60,,58.3
"""Clerks II""",2006,2013,"""comedy""","""""",97,40,30,50,40,40,40,60,60,40,,43.3
"""Click""",2006,2007,"""comedy""","""""",107,30,40,20,20,30,30,30,40,30,,30.0
"""Concussion""",2015,2015,"""biography""","""sports""",123,60,60,70,60,70,50,40,40,50,,57.5
"""Cool Runnings""",1993,2000,"""comedy""","""sports""",98,80,70,80,70,70,80,70,70,80,,75.0
"""Crash""",2004,2008,"""crime""","""drama""",112,70,60,60,60,50,70,60,60,70,,62.5
"""D1: The Mighty Ducks""",1992,2000,"""comedy""","""sports""",100,70,60,50,50,50,70,60,70,80,,61.7
"""D2: The Mighty Ducks""",1994,2000,"""comedy""","""sports""",106,60,50,50,50,50,60,60,70,70,,56.7
"""D3: The Mighty Ducks""",1996,2000,"""comedy""","""sports""",104,50,50,50,50,50,60,60,70,70,,55.0
"""Dances With Wolves""",1990,2006,"""adventure""","""western""",181,60,40,60,70,60,60,50,30,60,,54.2
"""Dark Knight Trilogy(1): Batman Begins""",2005,2012,"""superhero""","""action""",140,65,50,60,60,30,60,40,30,50,,51.7
"""Dark Knight Trilogy(2): The Dark Knight""",2008,2015,"""superhero""","""action""",152,70,60,60,60,30,60,40,30,60,,55.0
"""Dark Knight Trilogy(3): The Dark Knight Rises""",2012,2015,"""superhero""","""action""",164,50,50,50,50,30,60,40,30,60,,47.5
"""Dazed and Confused""",1993,2011,"""comedy""","""""",102,70,60,60,60,40,70,60,60,60,,60.8
"""Deja Vu""",2006,2012,"""action""","""sci-fi""",126,50,50,60,50,40,50,40,50,50,,50.0
"""Despicable Me""",2010,2015,"""comedy""","""animated""",95,50,50,40,50,40,60,60,60,40,,49.2
"""Despicable Me(2)""",2013,2015,"""comedy""","""animated""",98,50,50,40,50,40,60,60,60,40,,49.2
"""Die Hard""",1998,2014,"""action""","""""",132,60,50,40,50,40,60,50,40,60,,50.0
"""Dodgeball: A True Underdog Story""",2004,2006,"""comedy""","""sports""",92,70,60,60,50,40,60,60,70,60,,60.0
"""Dogma""",1999,2006,"""comedy""","""drama""",130,60,50,60,40,30,60,60,40,50,,51.7
"""Donnie Darko""",2001,2009,"""drama""","""sci-fi""",113,60,60,70,60,60,70,60,70,70,,64.2
"""Draft Day""",2014,2016,"""drama""","""sports""",110,30,40,30,30,30,30,20,30,30,,30.8
"""Drive""",2011,2017,"""drama""","""crime""",100,50,60,60,60,40,50,40,60,50,,53.3
"""Dumb and Dumber""",1994,2002,"""comedy""","""""",107,70,60,60,50,40,70,70,60,70,,61.7
"""Dumb and Dumberer: When Harry Met Lloyd""",2003,2004,"""comedy""","""""",85,30,40,40,40,30,30,50,50,30,,37.5
"""Eagle Vs. Shark""",2007,2011,"""comedy""","""""",88,40,40,40,40,40,50,60,60,40,,44.2
"""Edward Scissorhands""",1990,2004,"""drama""","""""",105,60,60,60,60,40,60,50,50,70,,57.5
"""Elf""",2003,2004,"""comedy""","""""",97,50,60,50,50,40,60,50,60,60,,53.3
"""Enders Game""",2013,2018,"""action""","""fantasy""",114,30,40,60,40,40,40,30,40,40,,40.8
"""Everything Is Illuminated""",2005,2007,"""comedy""","""drama""",106,70,60,70,70,60,70,70,60,70,,66.7
"""Ex Machina""",2014,2018,"""drama""","""sci-fi""",108,50,40,40,40,30,30,30,40,40,,39.2
"""Fast and Furious(1)(1)-The Fast and the Furious""",2001,2008,"""action""","""""",106,60,60,50,50,40,60,50,60,75,,56.3
"""Fast and Furious(2)(2)-2 Fast 2 Furious""",2003,2009,"""action""","""""",107,60,60,50,50,40,60,50,60,70,,55.8
"""Fast and Furious(3)(6)-Tokyo Drift""",2006,2016,"""action""","""""",106,60,60,50,50,40,60,50,60,75,,56.3
"""Fast and Furious(4)(3)-Fast and Furious""",2009,2016,"""action""","""""",107,60,60,50,50,40,60,50,60,70,,55.8
"""Fast and Furious(5)(4)-Fast Five""",2011,2012,"""action""","""""",130,60,60,50,50,40,60,50,55,70,,55.4
"""Fast and Furious(6)(5)-Fast and Furious 6""",2013,2016,"""action""","""""",130,60,60,50,50,40,60,50,50,65,,54.6
"""Fast and Furious(7)(7)-Furious 7""",2015,2016,"""action""","""""",137,60,60,50,50,40,60,50,50,60,,54.2
"""Fast and Furious(8)(8)-The Fate of the Furious""",2017,2019,"""action""","""""",136,50,50,50,50,40,60,50,40,60,,50.0
"""Fast Times at Ridgement High""",1982,2013,"""comedy""","""""",90,70,70,60,60,50,70,70,70,80,,66.7
"""Ferris Bueller's Day Off""",1986,2003,"""comedy""","""""",103,60,70,70,60,50,70,70,70,75,,66.3
"""Field of Dreams""",1989,2002,"""drama""","""fantasy""",107,50,70,70,70,60,60,50,50,70,,61.7
"""Fight Club""",1999,2010,"""drama""","""""",139,70,50,60,60,50,70,60,50,70,,60.0
"""Finding Dory""",2016,2018,"""comedy""","""animated""",97,40,60,50,50,40,50,50,60,50,,50.0
"""Finding Nemo""",2003,2004,"""comedy""","""animated""",100,60,60,50,50,40,60,60,60,70,,56.7
"""Forgetting Sarah Marshall""",2008,2010,"""comedy""","""""",111,70,50,60,60,40,70,70,50,65,,59.6
"""Forrest Gump""",1994,2006,"""comedy""","""drama""",142,70,60,80,70,60,70,70,40,80,,67.5
"""Freedom Writers""",2007,2011,"""drama""","""biography""",123,60,50,60,60,60,50,50,40,50,,54.2
"""Freeloaders""",2012,2013,"""comedy""","""""",77,30,20,30,30,30,30,50,50,20,,30.8
"""Friday Night Lights""",2004,2004,"""drama""","""sports""",118,50,60,60,60,50,70,50,60,60,,57.5
"""Garden State""",2004,2008,"""comedy""","""drama""",102,50,60,50,60,50,50,60,60,50,,54.2
"""GATTACA""",1997,2019,"""sci-fi""","""drama""",106,65,50,65,60,60,55,40,60,60,,57.9
"""Gentlemen Broncos""",2009,2010,"""comedy""","""sci-fi""",90,80,35,60,50,40,60,70,70,70,,59.2
"""Get Hard""",2015,2017,"""comedy""","""""",100,,,,,,,,,,30,30.0
"""Ghostbusters""",1984,2019,"""fantasy""","""comedy""",105,60,40,60,60,40,50,60,60,65,,54.6
"""Glass""",2019,2019,"""sci-fi""","""drama""",129,65,40,50,40,30,50,50,40,50,,47.5
"""God Bless America""",2011,2013,"""comedy""","""""",105,70,50,70,50,50,70,60,60,60,,60.8
"""Good Burger""",1997,2011,"""comedy""","""""",95,75,30,40,40,40,50,50,50,50,,47.5
"""Good Will Hunting""",1997,2007,"""drama""","""""",126,80,70,80,80,70,80,70,60,80,,75.0
"""Goon(1)""",2011,2012,"""comedy""","""sports""",92,40,40,30,30,40,40,50,50,30,,38.3
"""Goon(2)-Last of the Enforcers""",2017,2017,"""comedy""","""sports""",101,30,30,30,30,40,30,30,40,30,,31.7
"""Grandma's Boy""",2006,2009,"""comedy""","""""",94,70,60,60,50,50,70,70,70,65,,62.9
"""Groundhog Day""",1993,2006,"""comedy""","""""",101,60,60,70,60,50,60,60,50,70,,60.8
"""Half Baked""",1998,2011,"""comedy""","""""",82,60,40,50,50,40,60,50,50,50,,50.0
"""Happy Feet(1)""",2006,2013,"""adventure""","""animated""",108,50,50,50,50,40,50,40,50,60,,49.2
"""Happy Feet(2)""",2011,2013,"""adventure""","""comedy""",100,40,50,45,50,40,50,40,50,50,,45.8
"""Happy Gilmore""",1996,1999,"""comedy""","""sports""",92,75,60,60,50,40,70,50,70,70,,61.7
"""Harold & Kumar Go to White Castle""",2004,2008,"""comedy""","""adventure""",88,60,50,60,30,40,60,50,60,50,,52.5
"""Harry Potter(1) and the Philosopher's Stone""",2001,2001,"""fantasy""","""""",152,70,70,80,70,50,70,60,50,70,,67.5
"""Harry Potter(2) and the Chamber of Secrets""",2002,2002,"""fantasy""","""""",161,70,70,80,70,50,70,60,50,70,,67.5
"""Harry Potter(3) and the Prisoner of Azkaban""",2004,2004,"""fantasy""","""""",142,50,50,80,70,50,60,50,50,70,,59.2
"""Harry Potter(4) and the Goblet of Fire""",2005,2005,"""fantasy""","""""",157,60,60,80,70,50,60,55,50,70,,62.9
"""Harry Potter(5) and the Order of the Phoenix""",2007,2007,"""fantasy""","""""",138,60,50,80,70,50,70,60,50,70,,62.5
"""Harry Potter(6) and the Half-Blood Prince""",2009,2010,"""fantasy""","""""",153,60,50,80,70,50,70,60,50,70,,62.5
"""Harry Potter(7) and the Deathly Hallows Pt.1""",2010,2011,"""fantasy""","""""",146,60,60,80,70,50,60,50,35,50,,59.6
"""Harry Potter(8) and the Deathly Hallows Pt.2""",2011,2012,"""fantasy""","""""",130,60,60,80,70,50,60,50,35,50,,59.6
"""Heavy Weights""",1995,2009,"""comedy""","""""",100,70,40,60,50,50,60,70,50,50,,55.8
"""Holes""",2003,2006,"""adventure""","""comedy""",117,40,60,60,50,50,40,40,30,50,,48.3
"""Holy Rollers-The True Story of Card Counting Christians""",2011,2015,"""documentary""","""""",92,60,50,70,50,70,70,50,60,60,,60.0
"""Home Alone(1)""",1990,1998,"""comedy""","""family""",103,60,50,60,40,40,50,60,60,60,,54.2
"""Home Alone(2)-Lost in New York""",1992,1998,"""comedy""","""family""",120,50,40,50,40,40,40,50,40,50,,45.0
"""Hot Fuzz""",2007,2009,"""comedy""","""action""",121,60,50,50,50,40,60,60,40,60,,52.5
"""Hot Rod""",2007,2008,"""comedy""","""""",88,80,80,70,60,50,80,80,80,80,,74.2
"""Hot Tub Time Machine(1)""",2010,2012,"""comedy""","""sci-fi""",101,50,50,40,50,40,60,60,40,50,,48.3
"""Hot Tub Time Machine(2)""",2015,2016,"""comedy""","""sci-fi""",93,70,60,40,50,40,70,60,60,60,,56.7
"""Hurricane of Fun: The Making of Wet Hot""",2015,2017,"""documentary""","""comedy""",64,70,30,50,50,60,50,60,40,40,,50.0
"""I Love You, Man""",2009,2011,"""comedy""","""""",105,70,40,50,50,40,50,50,50,60,,51.7
"""I, Robot""",2004,2004,"""action""","""""",115,60,50,60,50,50,50,40,40,40,,50.8
"""Icarus""",2017,2018,"""documentary""","""sports""",121,80,75,80,50,80,80,70,60,70,,73.3
"""Ice Age(1)""",2002,2006,"""comedy""","""animated""",81,60,50,50,50,40,50,60,60,50,,52.5
"""Ice Age(2): The Meltdown""",2006,2010,"""comedy""","""animated""",91,60,50,50,50,40,50,60,60,50,,52.5
"""Ice Guardians""",2016,2017,"""documentary""","""sports""",108,30,50,40,30,40,20,20,20,30,,33.3
"""Idiocracy""",2006,2009,"""comedy""","""""",84,80,70,80,60,50,80,80,80,60,,72.5
"""Inception""",2010,2012,"""action""","""sci-fi""",148,60,40,65,50,60,60,50,35,60,,53.8
"""Inglourious Basterds""",2009,2012,"""drama""","""adventure""",153,40,30,50,50,40,30,50,20,30,,38.3
"""Inside Job""",2010,2015,"""documentary""","""economics""",105,60,60,75,70,80,60,60,50,50,,63.3
"""Inside Out""",2015,2018,"""comedy""","""animated""",95,50,65,50,50,50,60,55,70,60,,56.3
"""Into The Wild""",2007,2008,"""adventure""","""biography""",148,60,40,50,50,60,40,40,30,50,,47.5
"""Invictus""",2009,2010,"""drama""","""biography""",134,60,50,60,60,60,50,50,30,60,,54.2
"""Invincible""",2006,2008,"""biography""","""sports""",105,70,60,60,50,50,70,50,60,60,,60.0
"""Island of Lemurs: Madagascar""",2014,2014,"""documentary""","""wilderness""",39,70,70,70,70,80,80,50,50,65,,67.9
"""Jay and Silent Bob Strike Back""",2001,2009,"""comedy""","""""",104,50,50,50,50,40,50,50,40,50,,48.3
"""Jeff Who Lives at Home""",2011,2013,"""comedy""","""drama""",83,60,60,40,40,40,60,60,50,50,,51.7
"""Joe Dirt""",2001,2006,"""comedy""","""""",91,50,50,60,40,40,60,50,60,60,,52.5
"""John Dies at The End""",2012,2016,"""comedy""","""horror""",99,50,50,60,40,30,60,60,50,50,,50.8
"""Jumanji: Welcome To The Jungle""",2017,2018,"""comedy""","""adventure""",119,60,70,50,50,40,60,60,40,60,,55.8
"""Juno""",2007,2007,"""comedy""","""drama""",96,40,60,50,60,40,50,60,50,60,,51.7
"""Keanu""",2016,2018,"""comedy""","""action""",100,60,40,40,40,40,40,40,40,30,,42.5
"""Kill Bill: Vol. 1""",2003,2010,"""action""","""""",111,60,50,55,50,50,60,60,50,60,,55.0
"""Kill Bill: Vol. 2""",2004,2010,"""action""","""""",137,50,50,55,50,50,50,60,40,50,,50.8
"""Kitten Bowl-2014""",2014,2014,"""cats""","""sports""",124,70,20,40,40,50,60,40,30,50,,44.2
"""Kung Fu Panda(1)""",2008,2013,"""adventure""","""animated""",92,60,60,50,40,40,60,60,60,60,,55.0
"""Kung Fu Panda(2)""",2011,2013,"""adventure""","""animated""",90,60,60,50,40,40,60,60,60,60,,55.0
"""Kung Fury""",2015,2015,"""comedy""","""action""",31,80,70,50,40,40,70,70,70,60,,62.5
"""L.A. Confidential""",1997,2011,"""drama""","""mystery""",138,70,70,70,60,50,60,50,60,65,,63.8
"""Legally Blonde""",2001,2005,"""comedy""","""""",96,40,50,40,40,50,50,50,50,50,,45.8
"""Life Is Beautiful""",1997,2009,"""drama""","""comedy""",116,75,70,80,80,70,70,70,50,70,,71.7
"""Life of Pi""",2012,2014,"""adventure""","""fantasy""",127,30,20,50,30,30,20,20,20,30,,29.2
"""Little Giants""",1994,2013,"""comedy""","""sports""",107,60,40,50,30,30,50,40,40,50,,45.0
"""Little Miss Sunshine""",2006,2008,"""comedy""","""""",101,60,60,60,60,50,60,60,50,60,,58.3
"""Little Nicky""",2000,2002,"""comedy""","""""",90,65,40,40,40,30,50,50,50,50,,46.7
"""Looper""",2012,2014,"""action""","""drama""",113,30,30,50,50,40,40,30,40,40,,38.3
"""Lord of the Rings(1): The Fellowship of the Ring""",2001,2018,"""fantasy""","""adventure""",178,60,50,60,60,60,60,50,30,60,,55.0
"""Lord of the Rings(2): The Two Towers""",2002,2018,"""fantasy""","""adventure""",179,70,50,70,60,60,60,50,30,60,,58.3
"""Lord of the Rings(3): The Return of the King""",2003,2018,"""fantasy""","""adventure""",201,60,50,60,60,60,60,50,30,60,,55.0
"""MacGruber""",2010,2015,"""comedy""","""action""",90,50,20,40,40,30,50,50,50,40,,40.0
"""Mad Max: Fury Road""",2015,2018,"""action""","""""",120,70,50,55,30,30,60,50,40,50,,50.8
"""Madagascar(1)""",2005,2008,"""comedy""","""animated""",86,60,60,60,50,40,60,60,60,60,,57.5
"""Madagascar(2)-Escape 2 Africa""",2008,2013,"""comedy""","""animated""",89,50,50,60,50,40,50,50,60,50,,51.7
"""Major Payne""",1995,2004,"""comedy""","""""",95,70,30,50,50,40,50,60,60,60,,51.7
"""Malibus Most Wanted""",2003,2007,"""comedy""","""""",86,80,50,60,50,50,70,70,60,70,,62.5
"""Matilda""",1996,2002,"""fantasy""","""comedy""",102,40,50,60,60,50,60,50,50,60,,52.5
"""Me and Earl and the Dying Girl""",2015,2017,"""comedy""","""drama""",105,70,50,70,50,50,60,60,50,50,,58.3
"""Mean Girls""",2004,2008,"""comedy""","""""",97,60,60,60,50,50,60,60,60,60,,58.3
"""Men in Black(1)""",1997,1999,"""comedy""","""""",98,65,60,55,50,50,60,60,60,60,,58.3
"""Men in Black(2)""",2002,2003,"""comedy""","""""",88,65,60,55,50,50,60,60,60,60,,58.3
"""Men With Brooms""",2002,2006,"""comedy""","""drama""",102,60,40,60,40,50,40,50,50,50,,50.0
"""Michael Bolton's Big, Sexy Valentine's Day Special""",2017,2017,"""comedy""","""musical""",54,80,30,40,30,30,60,80,50,50,,50.0
"""Millennium Series 1-The Girl With The Dragon Tattoo""",2009,2013,"""drama""","""""",152,60,30,50,50,40,60,40,30,50,,45.8
"""Miracle""",2004,2005,"""biography""","""sports""",135,50,50,60,60,60,60,50,40,60,,54.2
"""Miss Congeniality""",2000,2003,"""comedy""","""action""",109,40,60,60,50,60,60,60,50,50,,54.2
"""Moneyball""",2011,2012,"""sports""","""biography""",133,50,50,70,50,60,50,50,40,60,,54.2
"""Monsters Inc.""",2001,2008,"""animated""","""comedy""",92,60,60,60,60,40,50,60,60,60,,57.5
"""Monty Python and the Holy Grail""",1975,2005,"""comedy""","""""",91,70,50,70,50,50,70,70,70,70,,63.3
"""Monty Python-And Now For Something Completely Different""",1971,2018,"""comedy""","""sketches""",88,70,30,50,50,40,60,60,50,60,,51.7
"""Moonrise Kingdom""",2012,2014,"""comedy""","""adventure""",94,40,60,60,50,50,50,50,50,50,,51.7
"""Mr. Deeds""",2002,2006,"""comedy""","""""",96,50,30,40,40,30,40,30,50,40,,39.2
"""Nacho Libre""",2006,2008,"""comedy""","""""",92,60,40,50,50,40,60,60,50,50,,50.8
"""Napoleon Dynamite""",2004,2005,"""comedy""","""""",96,80,70,70,60,50,70,70,70,80,,70.0
"""National Treasure""",2004,2006,"""adventure""","""action""",131,40,40,40,40,60,50,40,30,40,,41.7
"""Norman""",2010,2011,"""comedy""","""drama""",99,60,60,60,50,50,50,60,60,50,,56.7
"""Not Another Teen Movie""",2001,2007,"""comedy""","""""",89,70,50,60,40,40,60,60,60,60,,56.7
"""Now You See Me(1)""",2013,2015,"""mystery""","""""",115,60,40,60,50,50,50,40,40,40,,49.2
"""Now You See Me(2)""",2016,2018,"""mystery""","""""",129,40,40,50,50,40,40,40,30,40,,41.7
"""Ocean's 11""",2001,2003,"""crime""","""""",116,,,,,,,,,,65,65.0
"""Ocean's 12""",2004,2005,"""crime""","""""",125,,,,,,,,,,45,45.0
"""Ocean's 13""",2007,2009,"""crime""","""""",122,,,,,,,,,,50,50.0
"""Office Space""",1999,2006,"""comedy""","""""",89,,,,,,,,,,60,60.0
"""One & Done (Ben Simmons)""",2016,2016,"""documentary""","""""",91,,,,,,,,,,40,40.0
