name,year,est_year_watched,genre,sub_genre,movie_length,peak,consistency,premise,plot,information_gain,desired_effects,wit,length,timelessness,adjustment,overall_grade
"""Safety Not Guaranteed""",2012,2013,"""comedy""","""""",86,,,,,,,,,,55,55.0
"""Saving Private Ryan""",1998,2004,"""drama""","""""",169,,,,,,,,,,65,65.0
"""School of Rock""",2003,2004,"""comedy""","""music""",108,,,,,,,,,,50,50.0
"""Scott Pilgrim vs. The World""",2010,2011,"""comedy""","""action""",112,,,,,,,,,,60,60.0
"""Se7en""",1995,2012,"""crime""","""drama""",127,,,,,,,,,,65,65.0
"""Searching for Bobby Fischer""",1993,2017,"""drama""","""""",109,,,,,,,,,,60,60.0
"""Secondhand Lions""",2003,2018,"""comedy""","""drama""",109,,,,,,,,,,65,65.0
"""Semi-Pro""",2008,2019,"""comedy""","""sports""",91,,,,,,,,,,45,45.0
"""Seven Pounds""",2008,2015,"""drama""","""""",123,,,,,,,,,,50,50.0
"""Seven Psychopaths""",2012,2012,"""comedy""","""""",110,,,,,,,,,,50,50.0
"""Shaolin Soccer""",2001,2006,"""comedy""","""action""",87,,,,,,,,,,75,75.0
"""Sharknado(1)""",2013,2014,"""action""","""comedy""",86,,,,,,,,,,45,45.0
"""Sharknado(2)-The Second One""",2014,2015,"""action""","""comedy""",95,,,,,,,,,,45,45.0
"""Sharknado(3)-Oh Hell No""",2015,2016,"""action""","""comedy""",93,,,,,,,,,,45,45.0
"""Sharknado(4)-The Fourth Awakens""",2016,2016,"""action""","""comedy""",95,,,,,,,,,,45,45.0
"""Sharknado(5)-Global Swarming""",2017,2018,"""action""","""comedy""",93,,,,,,,,,,45,45.0
"""Shaun of the Dead""",2004,2007,"""comedy""","""""",99,,,,,,,,,,55,55.0
"""Shrek""",2001,2004,"""animated""","""comedy""",90,,,,,,,,,,40,40.0
"""Shutter Island""",2010,2019,"""mystery""","""thriller""",138,,,,,,,,,,65,65.0
"""Silver Linings Playbook""",2012,2014,"""comedy""","""drama""",122,,,,,,,,,,45,45.0
"""Sister Act""",1992,2003,"""comedy""","""crime""",100,,,,,,,,,,45,45.0
"""Slumdog Millionaire""",2008,2009,"""drama""","""""",120,,,,,,,,,,65,65.0
"""Sorry to Bother You""",2018,2019,"""comedy""","""fantasy""",111,,,,,,,,,,60,60.0
"""Source Code""",2011,2015,"""sci-fi""","""mystery""",93,,,,,,,,,,45,45.0
"""South Park-Bigger, Longer, and Uncut""",1999,2012,"""comedy""","""animated""",81,,,,,,,,,,60,60.0
"""Space Jam""",1996,1998,"""sports""","""animated""",88,,,,,,,,,,70,70.0
"""Spaceballs""",1987,2005,"""comedy""","""sci-fi""",96,,,,,,,,,,65,65.0
"""Split""",2016,2017,"""thriller""","""""",117,,,,,,,,,,55,55.0
"""Spotlight""",2015,2017,"""crime""","""history""",128,,,,,,,,,,75,75.0
"""St. Vincent""",2014,2018,"""comedy""","""drama""",102,,,,,,,,,,55,55.0
"""Stand and Deliver""",1988,2006,"""drama""","""""",103,,,,,,,,,,65,65.0
"""Starsky and Hutch""",2004,2005,"""comedy""","""""",101,,,,,,,,,,55,55.0
"""Step Brothers""",2008,2009,"""comedy""","""""",98,,,,,,,,,,65,65.0
"""Straight Outta Compton""",2015,2017,"""biography""","""music""",147,,,,,,,,,,65,65.0
"""Stranger Than Fiction""",2006,2007,"""comedy""","""""",113,,,,,,,,,,60,60.0
"""StudioGhibli-Castle in the Sky""",1986,2011,"""animated""","""adventure""",125,,,,,,,,,,65,65.0
"""StudioGhibli-Castle Of Cagliostro""",1979,2010,"""animated""","""adventure""",102,,,,,,,,,,70,70.0
"""StudioGhibli-From Up on Poppy Hill""",2011,2016,"""animated""","""drama""",91,,,,,,,,,,60,60.0
"""StudioGhibli-Howl's Moving Castle""",2004,2011,"""animated""","""adventure""",119,,,,,,,,,,65,65.0
"""StudioGhibli-Kiki's Delivery Service""",1989,2016,"""animated""","""adventure""",103,,,,,,,,,,70,70.0
"""StudioGhibli-My Neighbor Totoro""",1988,2012,"""animated""","""adventure""",86,,,,,,,,,,65,65.0
"""StudioGhibli-Nausicaa of the Valley of the Wind""",1984,2016,"""animated""","""adventure""",117,,,,,,,,,,70,70.0
"""StudioGhibli-Ponyo""",2008,2015,"""animated""","""adventure""",101,,,,,,,,,,50,50.0
"""StudioGhibli-Porco Rosso""",1992,2015,"""animated""","""adventure""",94,,,,,,,,,,65,65.0
"""StudioGhibli-Princess Mononoke""",1997,2009,"""animated""","""adventure""",134,,,,,,,,,,80,80.0
"""StudioGhibli-Spirited Away""",2001,2010,"""animated""","""adventure""",125,,,,,,,,,,75,75.0
"""StudioGhibli-The Secret World of Arrietty""",2010,2016,"""animated""","""adventure""",94,,,,,,,,,,55,55.0
"""StudioGhibli-The Tale of Princess Kaguya""",2013,2016,"""animated""","""adventure""",137,,,,,,,,,,45,45.0
"""StudioGhibli-The Wind Rises""",2013,2016,"""animated""","""biography""",126,,,,,,,,,,75,75.0
"""StudioGhibli-Whisper of the Heart""",1995,2016,"""animated""","""adventure""",111,,,,,,,,,,55,55.0
"""Sudden Death""",1995,2018,"""action""","""""",111,,,,,,,,,,55,55.0
"""Super Size Me""",2004,2005,"""documentary""","""""",100,,,,,,,,,,55,55.0
"""Super Troopers""",2001,2009,"""comedy""","""""",100,,,,,,,,,,50,50.0
"""Superbabies: Baby Geniuses 2""",2004,2010,"""comedy""","""""",88,,,,,,,,,,20,20.0
"""Superbad""",2007,2008,"""comedy""","""""",113,,,,,,,,,,50,50.0
"""Superheroes""",2011,2013,"""documentary""","""""",90,,,,,,,,,,50,50.0
"""Talladega Nights: The Ballad of Ricky Bobby""",2006,2007,"""comedy""","""sports""",108,,,,,,,,,,50,50.0
"""Tangled""",2010,2012,"""animated""","""adventures""",100,,,,,,,,,,30,30.0
"""Terri""",2011,2013,"""comedy""","""drama""",105,,,,,,,,,,45,45.0
"""The 40-Year-Old Virgin""",2005,2009,"""comedy""","""""",116,,,,,,,,,,55,55.0
"""The Accountant""",2016,2017,"""action""","""""",128,,,,,,,,,,40,40.0
"""The Adjustment Bureau""",2011,2013,"""sci-fi""","""""",106,,,,,,,,,,55,55.0
"""The Aristocats""",1970,2018,"""comedy""","""animated""",78,,,,,,,,,,65,65.0
"""The Babymakers""",2012,2014,"""comedy""","""""",95,,,,,,,,,,35,35.0
"""The Benchwarmers""",2006,2007,"""comedy""","""sports""",80,,,,,,,,,,40,40.0
"""The BFG""",2016,2018,"""fantasy""","""adventure""",117,,,,,,,,,,30,30.0
"""The Big Lebowski""",1998,2008,"""comedy""","""""",117,,,,,,,,,,75,75.0
"""The Blind Side""",2009,2011,"""biography""","""sports""",129,,,,,,,,,,40,40.0
"""The Blues Brothers""",1980,2003,"""comedy""","""action""",133,,,,,,,,,,75,75.0
"""The Blues Brothers(2) 2000""",1998,2003,"""comedy""","""action""",123,,,,,,,,,,50,50.0
"""The Breakfast Club""",1985,2006,"""comedy""","""drama""",97,,,,,,,,,,65,65.0
"""The Brothers Bloom""",2008,2011,"""comedy""","""drama""",114,,,,,,,,,,45,45.0
"""The Bucket List""",2007,2011,"""adventure""","""comedy""",97,,,,,,,,,,45,45.0
"""The Da Vinci Code""",2006,2008,"""mystery""","""""",149,,,,,,,,,,40,40.0
"""The Darjeeling Limited""",2007,2018,"""comedy""","""adventure""",91,,,,,,,,,,45,45.0
"""The Day After Tomorrow""",2004,2008,"""adventure""","""action""",124,,,,,,,,,,30,30.0
"""The Departed""",2006,2008,"""crime""","""drama""",151,,,,,,,,,,60,60.0
"""The Disaster Artist""",2017,2018,"""comedy""","""biography""",104,,,,,,,,,,55,55.0
"""The Fifth Element""",1997,2018,"""action""","""sci-fi""",126,,,,,,,,,,60,60.0
"""The Foot Fist Way""",2006,2009,"""comedy""","""""",85,,,,,,,,,,65,65.0
"""The Frighteners""",1996,2011,"""comedy""","""fantasy""",110,,,,,,,,,,45,45.0
"""The Garden of Words""",2013,2016,"""animated""","""drama""",46,,,,,,,,,,55,55.0
"""The Girl Who Leapt Through Time""",2006,2018,"""animated""","""adventure""",98,,,,,,,,,,75,75.0
"""The Goonies""",1985,2005,"""comedy""","""adventure""",114,,,,,,,,,,65,65.0
"""The Grand Budapest Hotel""",2014,2015,"""comedy""","""adventure""",99,,,,,,,,,,60,60.0
"""The Hangover(1)""",2009,2010,"""comedy""","""""",100,,,,,,,,,,50,50.0
"""The Hitchhikers Guide to the Galaxy""",2005,2006,"""sci-fi""","""comedy""",109,,,,,,,,,,65,65.0
"""The Human Centipede""",2009,2010,"""horror""","""""",92,,,,,,,,,,20,20.0
"""The Hunger Games(1)-The Hunger Games""",2012,2012,"""adventure""","""sci-fi""",142,,,,,,,,,,55,55.0
"""The Hunger Games(2)-Catching Fire""",2013,2014,"""adventure""","""sci-fi""",146,,,,,,,,,,55,55.0
"""The Hunger Games(3)-Mockingjay (Pt. 1)""",2014,2015,"""adventure""","""sci-fi""",123,,,,,,,,,,50,50.0
"""The Hunger Games(4)-Mockingjay (Pt. 2)""",2015,2015,"""adventure""","""sci-fi""",137,,,,,,,,,,50,50.0
"""The Hunt for Red October""",1990,2002,"""action""","""thriller""",135,,,,,,,,,,60,60.0
"""The Illusionist""",2006,2010,"""drama""","""mystery""",110,,,,,,,,,,45,45.0
"""The Imitation Game""",2014,2017,"""drama""","""biography""",114,,,,,,,,,,60,60.0
"""The Incredibles""",2004,2008,"""animated""","""action""",115,,,,,,,,,,50,50.0
"""The Italian Job""",1969,2011,"""action""","""""",99,,,,,,,,,,60,60.0
"""The Italian Job""",2003,2006,"""action""","""""",111,,,,,,,,,,60,60.0
"""The Karate Kid""",1984,2012,"""action""","""drama""",126,,,,,,,,,,45,45.0
"""The Lego Batman Movie""",2017,2017,"""comedy""","""animated""",104,,,,,,,,,,60,60.0
"""The Lego Movie""",2014,2014,"""comedy""","""animated""",100,,,,,,,,,,65,65.0
"""The Life Aquatic with Steve Zissou""",2004,2009,"""comedy""","""adventure""",119,,,,,,,,,,65,65.0
"""The Lion King""",1994,2018,"""animated""","""adventure""",88,,,,,,,,,,70,70.0
"""The Little Rascals""",1994,2006,"""comedy""","""""",82,,,,,,,,,,40,40.0
"""The Longest Yard""",2005,2006,"""comedy""","""sports""",113,,,,,,,,,,45,45.0
"""The Matrix(1)""",1999,2001,"""action""","""sci-fi""",136,,,,,,,,,,70,70.0
"""The Matrix(2) Reloaded""",2003,2006,"""action""","""sci-fi""",138,,,,,,,,,,55,55.0
"""The Matrix(3) Revolutions""",2003,2008,"""action""","""sci-fi""",129,,,,,,,,,,50,50.0
"""The Nice Guys""",2016,2016,"""comedy""","""action""",116,,,,,,,,,,55,55.0
"""The Notebook""",2004,2012,"""romantic comedy""","""""",123,,,,,,,,,,35,35.0
"""The Overnight""",2015,2017,"""comedy""","""""",79,,,,,,,,,,20,20.0
"""The Point""",1971,2006,"""animated""","""adventure""",74,,,,,,,,,,80,80.0
"""The Prestige""",2006,2013,"""drama""","""mystery""",130,,,,,,,,,,65,65.0
"""The Pursuit of Happyness""",2006,2009,"""drama""","""biography""",117,,,,,,,,,,60,60.0
"""The Rookie""",2002,2002,"""drama""","""sports""",127,,,,,,,,,,45,45.0
"""The Room""",2003,2011,"""drama""","""""",99,,,,,,,,,,60,60.0
"""The Royal Tenenbaums""",2001,2006,"""comedy""","""""",110,,,,,,,,,,65,65.0
"""The Sandlot""",1993,1998,"""comedy""","""sports""",101,,,,,,,,,,70,70.0
"""The Sasquatch Gang""",2006,2009,"""comedy""","""""",86,,,,,,,,,,60,60.0
"""The Slammin' Salmon""",2009,2010,"""comedy""","""""",90,,,,,,,,,,55,55.0
"""The Social Network""",2010,2011,"""drama""","""biography""",120,,,,,,,,,,50,50.0
"""The Sound of Music""",1965,2005,"""drama""","""music""",172,,,,,,,,,,35,35.0
"""The Truman Show""",1998,2004,"""comedy""","""sci-fi""",103,,,,,,,,,,70,70.0
"""The Untouchables""",1987,2007,"""crime""","""drama""",119,,,,,,,,,,60,60.0
"""The Usual Suspects""",1995,2001,"""crime""","""mystery""",106,,,,,,,,,,70,70.0
"""The Waterboy""",1998,1999,"""comedy""","""sports""",90,,,,,,,,,,55,55.0
"""The Yellow Submarine""",1968,1998,"""music""","""animated""",85,,,,,,,,,,75,75.0
"""Thirteen Days""",2000,2005,"""history""","""drama""",145,,,,,,,,,,60,60.0
"""This Film Is Not Yet Rated""",2006,2018,"""documentary""","""""",98,,,,,,,,,,60,60.0
"""This Is Spinal Tap""",1984,2008,"""comedy""","""music""",82,,,,,,,,,,70,70.0
"""This Is The End""",2013,2014,"""comedy""","""fantasy""",107,,,,,,,,,,30,30.0
"""Three Billboards Outside Ebbing Missouri""",2017,2018,"""drama""","""comedy""",115,,,,,,,,,,55,55.0
"""Tin Cup""",1996,2001,"""drama""","""comedy""",135,,,,,,,,,,45,45.0
"""Tongan Ninja""",2002,2010,"""comedy""","""action""",83,,,,,,,,,,45,45.0
"""Toy Story 1""",1995,1998,"""animated""","""adventure""",81,,,,,,,,,,60,60.0
"""Toy Story 2""",1999,1999,"""animated""","""adventure""",92,,,,,,,,,,60,60.0
"""Toy Story 3""",2010,2011,"""animated""","""adventure""",103,,,,,,,,,,70,70.0
"""Trailer Park Boys-Christmas Special""",2004,2013,"""comedy""","""""",57,,,,,,,,,,45,45.0
"""Trailer Park Boys-Countdown to Liquor Day""",2009,2013,"""comedy""","""""",102,,,,,,,,,,45,45.0
"""Trailer Park Boys-Don't Legalize It""",2014,2016,"""comedy""","""""",95,,,,,,,,,,40,40.0
"""Trailer Park Boys-The Big Dirty""",2006,2013,"""comedy""","""""",95,,,,,,,,,,45,45.0
"""Trailer Park Boys-The Movie""",1999,2013,"""comedy""","""""",67,,,,,,,,,,55,55.0
"""Training Day""",2001,2011,"""crime""","""drama""",122,,,,,,,,,,60,60.0
"""Trainspotting""",1996,2010,"""drama""","""""",94,,,,,,,,,,65,65.0
"""Tremors""",1990,2001,"""comedy""","""horror""",96,,,,,,,,,,45,45.0
"""Tropic Thunder""",2008,2010,"""comedy""","""action""",107,,,,,,,,,,60,60.0
"""Tucker and Dale vs Evil""",2010,2018,"""comedy""","""horror""",89,,,,,,,,,,45,45.0
"""Twilight(1)""",2008,2009,"""fantasy""","""romance""",122,,,,,,,,,,35,35.0
"""Twilight(2)-New Moon""",2009,2011,"""fantasy""","""romance""",130,,,,,,,,,,35,35.0
"""Twilight(3)-Eclipse""",2010,2011,"""fantasy""","""romance""",124,,,,,,,,,,45,45.0
"""Twilight(4)-Breaking Down Pt.1""",2011,2013,"""fantasy""","""romance""",117,,,,,,,,,,35,35.0
"""Twilight(5)-Breaking Dawn Pt. 2""",2012,2013,"""fantasy""","""romance""",115,,,,,,,,,,40,40.0
"""Unbreakable""",2000,2010,"""drama""","""sci-fi""",106,,,,,,,,,,65,65.0
"""Up""",2009,2012,"""animated""","""adventure""",96,,,,,,,,,,70,70.0
"""V for Vendetta""",2005,2008,"""action""","""sci-fi""",132,,,,,,,,,,65,65.0
"""Walk the Line""",2005,2009,"""biography""","""music""",136,,,,,,,,,,45,45.0
"""Wall-E""",2008,2014,"""animated""","""adventure""",98,,,,,,,,,,65,65.0
"""Waterworld""",1995,2007,"""sci-fi""","""action""",135,,,,,,,,,,40,40.0
"""Wayne's World 1""",1992,2005,"""comedy""","""music""",94,,,,,,,,,,55,55.0
"""Wayne's World 2""",1993,2005,"""comedy""","""music""",95,,,,,,,,,,45,45.0
"""Wedding Crashers""",2005,2009,"""comedy""","""""",119,,,,,,,,,,40,40.0
"""Weekend At Bernies 1""",1989,2008,"""comedy""","""adventure""",97,,,,,,,,,,60,60.0
"""Weekend At Bernies 2""",1993,2010,"""comedy""","""adventure""",97,,,,,,,,,,35,35.0
"""Wet Hot American Summer""",2001,2010,"""comedy""","""""",97,,,,,,,,,,80,80.0
"""What We Do In The Shadows""",2014,2016,"""comedy""","""mockumentary""",86,,,,,,,,,,65,65.0
"""White Men Can't Jump""",1992,2019,"""sports""","""comedy""",115,,,,,,,,,,50,50.0
"""Without a Paddle""",2004,2007,"""comedy""","""adventure""",95,,,,,,,,,,40,40.0
"""Wizard People, Dear Reader""",2004,2016,"""comedy""","""""",152,,,,,,,,,,75,75.0
"""Wolf Children""",2012,2016,"""animated""","""drama""",117,,,,,,,,,,45,45.0
"""X-Men(1)(2000)-X-Men""",2000,2010,"""superhero""","""documentary""",104,,,,,,,,,,40,40.0
"""X-Men(10)(2029)-Logan""",2017,2018,"""superhero""","""documentary""",137,,,,,,,,,,40,40.0
"""X-Men(2)(2003)-X2""",2003,2010,"""superhero""","""documentary""",134,,,,,,,,,,50,50.0
"""X-Men(3)(2006)-The Last Stand""",2006,2014,"""superhero""","""documentary""",104,,,,,,,,,,55,55.0
"""X-Men(4)(1981)-Origins Wolverine""",2009,2014,"""superhero""","""documentary""",107,,,,,,,,,,45,45.0
"""X-Men(5)(1962)-First Class""",2011,2014,"""superhero""","""documentary""",131,,,,,,,,,,65,65.0
"""X-Men(6)(2013)-The Wolverine""",2013,2015,"""superhero""","""documentary""",126,,,,,,,,,,40,40.0
"""X-Men(7)(2023)-Days of Future Past""",2014,2016,"""superhero""","""documentary""",132,,,,,,,,,,65,65.0
"""X-Men(8)(1983)-Apocalypse""",2016,2017,"""superhero""","""documentary""",144,,,,,,,,,,60,60.0
"""X-Men(9)(2016)-Deadpool""",2016,2017,"""superhero""","""documentary""",108,,,,,,,,,,55,55.0
"""Your Name""",2016,2016,"""animated""","""drama""",106,,,,,,,,,,65,65.0
"""Youth In Revolt""",2009,2010,"""comedy""","""drama""",90,,,,,,,,,,55,55.0
"""Zack and Miri Make a Porno""",2008,2010,"""comedy""","""romance""",101,,,,,,,,,,35,35.0
"""Zoolander 1""",2001,2003,"""comedy""","""""",90,,,,,,,,,,60,60.0
"""Zoolander 2""",2016,2017,"""comedy""","""""",101,,,,,,,,,,30,30.0
