player_name,teams,end_year,start_year,years,pa,defense,position_adj,dWAR,park_wOBA,OPS_plus,wRC_plus,rAA,oWAR,replacement,noD_WAR,WAR
Mookie Betts,Atl/,2019,2015,5,3499,120.195,-1.168,11.91,0.3434,122.5362,125.2962,91.770,9.18,99.97,19.06,31.08
Morgan Ensberg,SF/S,2009,2006,3,1585,0.000,5.660,0.56,0.3497,110.6183,110.6084,19.470,1.95,45.29,7.05,7.05
Myles Straw,Pit,2019,2019,1,87,2.547,0.309,0.29,0.2302,42.3400,36.5600,-5.860,-0.59,2.49,-0.31,-0.06
Nate Gold,SFG,2008,2008,1,166,0.000,-2.964,-0.30,0.3698,119.9200,122.9300,4.450,0.45,4.74,0.63,0.63
Nate McLouth,NYA/,2014,2006,9,3925,-24.079,-3.235,-2.73,0.3297,100.0972,103.2047,11.880,1.19,112.14,12.08,9.67
Nate Orf,Phi,2019,2019,1,46,0.168,-0.128,0.00,0.2395,47.9400,43.5700,-2.760,-0.28,1.31,-0.16,-0.15
Nate Schierholtz,Det/,2014,2008,6,2774,12.294,-33.487,-2.12,0.3048,88.4340,85.1020,-44.460,-4.45,79.26,0.13,1.36
Nathan Haynes,ANA/,2009,2008,2,111,0.000,0.397,0.04,0.2877,73.3851,67.9716,-4.100,-0.41,3.17,-0.05,-0.05
Nathan Orf,Phi,2016,2016,1,187,1.316,0.661,0.20,0.3223,118.0200,113.1200,2.430,0.24,5.34,0.84,0.97
Nathaniel Lowe,Pit,2019,2019,1,121,0.189,-2.170,-0.20,0.3402,114.9200,119.4100,2.490,0.25,3.46,0.38,0.40
Neifi Perez,NYA/,2007,2006,2,177,0.000,1.068,0.11,0.2937,74.9795,70.5193,-6.360,-0.64,5.06,-0.03,-0.03
Neil Walker,KC/L,2019,2010,9,4994,4.168,16.542,2.08,0.3220,105.6488,104.7892,25.540,2.55,142.69,18.47,18.89
Nelson Cruz,Was/,2019,2007,13,6846,-36.366,-88.428,-12.49,0.3546,123.6660,126.5247,195.020,19.50,195.60,30.22,26.58
Nicholas Castellanos,Phi,2019,2019,1,491,-14.071,-4.681,-1.88,0.3723,139.2800,143.5900,22.730,2.27,14.03,3.21,1.80
Nicholas Hundley,CIN,2010,2010,1,125,0.000,2.232,0.22,0.2762,63.3800,59.5700,-5.780,-0.58,3.57,0.00,0.00
Nick Ahmed,Ari,2019,2016,4,1084,21.208,11.675,3.29,0.2965,90.8229,87.6392,-13.360,-1.34,30.97,2.93,5.05
Nick Castellanos,Phi/,2018,2014,4,1686,-35.091,-6.008,-4.11,0.3504,127.0036,128.8772,50.860,5.09,48.17,9.31,5.80
Nick Delmonico,NYA,2018,2017,2,831,-18.312,-0.877,-1.92,0.3098,98.4488,97.4185,-2.250,-0.23,23.74,2.06,0.23
Nick Evans,LAN/,2016,2012,5,894,-9.958,-6.154,-1.61,0.2991,92.4763,91.8506,-7.960,-0.80,25.54,1.14,0.14
Nick Franklin,Bos/,2019,2014,4,1470,-18.423,8.000,-1.04,0.2995,90.7893,89.5654,-16.170,-1.62,42.00,3.38,1.54
Nick Gorneault,DET,2006,2006,1,94,0.000,0.336,0.03,0.4174,160.9400,158.5400,6.380,0.64,2.69,0.94,0.94
Nick Green,COL/,2008,2006,3,228,0.000,0.814,0.08,0.2780,62.9219,60.3270,-10.730,-1.07,6.51,-0.34,-0.34
Nick Hundley,Sea/,2017,2011,7,1375,-3.783,21.605,1.79,0.2910,85.6824,80.8473,-27.780,-2.79,39.29,3.30,2.92
Nick Johnson,Oak/,2011,2006,4,2749,-8.702,-45.105,-5.39,0.3590,114.5287,119.4303,61.770,6.18,78.54,9.52,8.65
Nick Markakis,SD/W,2019,2007,11,5447,-0.112,-59.996,-6.02,0.3201,98.5302,97.8084,-6.230,-0.63,155.63,8.93,8.92
Nick Martini,KC,2019,2019,1,369,-3.200,-1.743,-0.49,0.3393,109.0300,118.7600,7.350,0.74,10.54,1.62,1.30
Nick Punto,Phi/,2015,2006,9,2466,6.335,16.210,2.26,0.2756,69.4922,64.7717,-96.740,-9.68,70.46,-1.01,-0.38
Nick Senzel,Phi,2019,2019,1,552,-0.584,2.029,0.14,0.3469,123.8400,124.4900,14.360,1.44,15.77,3.22,3.16
Nick Stavinoha,Phi,2011,2011,1,493,-4.464,-7.179,-1.16,0.3352,114.3400,114.3000,7.390,0.74,14.09,1.43,0.98
Nick Swisher,SD/P,2015,2006,10,6219,-16.871,-68.631,-8.55,0.3527,116.7307,118.8100,131.800,13.20,177.69,24.11,22.42
Nicky Lopez,Mil,2019,2018,2,577,9.983,2.780,1.28,0.2923,84.7315,83.8541,-9.880,-0.99,16.49,0.94,1.94
Noel Cuevas,Det/,2019,2018,2,322,-1.163,-2.725,-0.39,0.2667,76.8901,64.5328,-12.060,-1.20,9.20,-0.55,-0.67
Nolan Arenado,Bos/,2019,2012,7,4042,167.408,14.641,18.21,0.3437,123.7833,125.2906,105.360,10.55,115.49,23.56,40.30
Nolan Reimold,LAN/,2013,2007,6,2162,-9.041,-21.931,-3.09,0.3297,105.1171,105.7925,14.260,1.43,61.77,5.41,4.51
Nomar Garciaparra,FLA/,2009,2006,4,2255,0.000,-10.561,-1.06,0.3284,95.0901,95.1077,-13.230,-1.32,64.43,4.07,4.07
Nomar Mazara,Hou/,2019,2016,3,1360,5.001,-15.543,-1.05,0.3180,104.9810,103.9296,6.130,0.61,38.86,2.94,3.44
Nook Logan,MIN/,2008,2006,3,136,0.000,0.485,0.04,0.2945,76.7096,72.2320,-4.400,-0.44,3.89,0.00,0.00
Nori Aoki,Bal/,2018,2016,4,1827,6.874,-22.717,-1.58,0.3005,91.4186,92.1225,-14.800,-1.48,52.20,1.47,2.16
Norichika Aoki,Det,2014,2013,2,1413,1.303,4.686,0.60,0.2970,89.4771,88.0095,-17.580,-1.75,40.37,2.76,2.89
Norihiro Nakamura,NYM,2006,2006,1,93,0.000,0.332,0.03,0.2552,46.8200,46.6700,-5.750,-0.58,2.66,-0.28,-0.28
Norris Hopper,OAK/,2010,2007,3,772,0.000,0.043,0.01,0.2750,64.0261,57.9768,-38.230,-3.82,22.06,-1.61,-1.61
Nyjer Morgan,Col/,2014,2008,7,1944,39.070,1.722,4.08,0.2945,77.2006,77.2986,-48.110,-4.82,55.54,0.91,4.81
O'Koyea Dickson,KC,2017,2017,1,216,-0.064,-4.799,-0.49,0.2606,63.1900,59.5600,-9.160,-0.92,6.17,-0.78,-0.79
Odubel Herrera,Was/,2019,2016,3,2013,47.965,-2.719,4.53,0.3059,98.0310,95.7794,-8.600,-0.86,57.51,4.62,9.42
Olmedo Saenz,Det,2007,2006,2,273,0.000,-0.332,-0.03,0.2873,66.8712,64.9190,-11.460,-1.15,7.80,-0.40,-0.40
Omar Infante,Col/,2016,2006,9,4007,-5.920,11.614,0.56,0.3070,92.9962,90.3029,-42.350,-4.24,114.48,8.37,7.78
Omar Narvaez,SF,2019,2018,2,729,-5.269,12.113,0.68,0.2788,74.5765,73.5116,-20.320,-2.03,20.83,1.26,0.74
Omar Quintanilla,Bos/,2015,2006,5,677,0.000,5.447,0.55,0.2923,74.6985,69.0381,-24.940,-2.49,19.34,0.44,0.44
Omar Vizquel,BAL/,2011,2007,5,1083,0.170,11.607,1.17,0.2984,74.6710,71.8888,-35.810,-3.58,30.94,0.68,0.69
Omir Santos,CHA,2010,2010,1,74,0.000,1.321,0.13,0.2764,63.6200,59.7200,-3.410,-0.34,2.11,0.00,0.00
Orlando Arcia,KC/S,2019,2017,2,873,4.257,10.907,1.51,0.2809,78.9884,75.0366,-23.050,-2.31,24.94,1.27,1.70
Orlando Cabrera,Det/,2012,2007,6,2933,-2.047,29.621,2.75,0.3192,87.4607,89.0967,-36.290,-3.63,83.80,7.71,7.51
Orlando Calixte,ChN,2019,2019,1,98,-0.602,-1.172,-0.18,0.2371,59.8800,41.7800,-6.060,-0.61,2.80,-0.45,-0.51
Orlando Hudson,Tor/,2013,2007,7,3207,0.092,10.212,1.03,0.3241,93.0578,92.5041,-26.940,-2.70,91.63,9.11,9.12
Orlando Palmeiro,CIN,2006,2006,1,70,0.000,-0.750,-0.08,0.3788,131.6200,131.9000,2.590,0.26,2.00,0.39,0.39
Oscar Robles,DET,2006,2006,1,616,0.000,2.200,0.22,0.3356,103.0400,102.1200,1.510,0.15,17.60,2.13,2.13
Oscar Salazar,Sea/,2011,2008,4,349,-2.821,-4.018,-0.69,0.3518,117.1210,115.6968,6.090,0.61,9.97,1.21,0.92
Oscar Taveras,StL,2014,2013,2,1355,20.992,-12.352,0.86,0.3038,94.7866,92.9664,-9.560,-0.96,38.71,1.68,3.78
Oswaldo Arcia,Was/,2018,2013,6,2486,-31.773,-25.925,-5.77,0.3312,115.2113,116.4970,42.410,4.25,71.03,8.76,5.58
Ozzie Albies,NYN,2018,2018,1,726,3.635,2.567,0.62,0.3315,111.9800,114.4900,11.000,1.10,20.74,3.43,3.79
Pablo Ozuna,PIT,2007,2006,2,443,0.000,-2.004,-0.20,0.2807,62.1878,60.9366,-20.710,-2.07,12.66,-1.01,-1.01
Pablo Sandoval,Sea/,2018,2009,9,3892,5.537,18.407,2.40,0.3473,118.9735,119.6361,84.130,8.40,111.20,22.29,22.84
Pat Burrell,Phi/,2012,2007,6,3237,-13.021,-42.396,-5.56,0.3674,121.3939,124.7872,90.270,9.02,92.49,14.03,12.73
Paul DeJong,KC/H,2019,2018,3,1210,-2.272,8.689,0.64,0.2847,81.3759,78.0409,-27.840,-2.78,34.57,1.55,1.32
Paul Goldschmidt,Cin/,2019,2012,8,5313,19.746,-92.552,-7.28,0.3761,142.3131,148.9056,271.160,27.11,151.80,33.04,35.01
Paul Janish,Tex,2011,2011,1,56,-0.143,0.225,0.01,0.2531,62.4400,51.5900,-2.840,-0.28,1.60,-0.10,-0.11
Paul Konerko,Hou/,2015,2006,9,5268,-27.394,-98.528,-12.59,0.3537,117.8087,119.8754,119.200,11.92,150.52,17.12,14.38
Paul Lo Duca,Oak,2008,2007,2,1219,0.000,21.768,2.18,0.3077,81.0007,78.5144,-30.900,-3.09,34.83,2.57,2.57
Paul LoDuca,OAK,2006,2006,1,589,0.000,10.518,1.05,0.2953,79.1100,74.3600,-17.520,-1.75,16.83,0.99,0.99
Paul Phillips,SD,2010,2010,1,74,0.000,1.321,0.13,0.2434,46.1000,36.6900,-5.360,-0.54,2.11,-0.20,-0.20
Paulo Orlando,Tor/,2017,2015,3,728,15.437,-6.908,0.85,0.2790,80.9405,77.4620,-16.530,-1.65,20.80,-0.26,1.28
Pedro Alvarez,Oak/,2019,2011,9,4126,-35.970,-50.051,-8.59,0.3231,107.5183,107.7110,32.360,3.23,117.89,10.01,6.42
Pedro Ciriaco,Mil/,2014,2011,3,738,3.616,7.408,1.10,0.2649,70.0490,61.4876,-29.740,-2.97,21.09,-0.12,0.24
Pedro Feliz,CHA/,2010,2006,5,1896,0.000,6.771,0.67,0.2922,75.1385,69.8428,-66.940,-6.70,54.17,-0.61,-0.61
Pete LaForest,TB,2009,2009,1,129,0.000,2.304,0.23,0.3665,119.7800,122.9400,3.400,0.34,3.69,0.94,0.94
Pete Orr,CLV,2006,2006,1,59,0.000,0.211,0.02,0.2864,77.1600,68.2100,-2.180,-0.22,1.69,-0.03,-0.03
