superAdjFV_rnk,adjFV_rnk,avgFV_rnk,ofpFV_rnk,superAdj_FV,adj_FV,avg_FV,ofp_FV,PV,FV,*BIO*,fnames,lnames,year,age,position,bats,throws,height,weight,p_type,FV_pts,FV_weight,*IDs*,prospect_id,mlb_id,mlb_draft_id,fg_major_id,fg_minor_id,*FG*,FGOvrRnk,FG_DraftRank,FG_OrgRank,FG_DraftPick,FGSchool,FG_Level,FG_Signed,FG_Team,FG_Athleticism,FG_Performer,FG_Risk,FG_Variance,FG_ETA,FG_FV,FG_Video,FG_ShortBlurb,FG_Blurb,*mlb*,MLB_School,MLB_Team,MLB_Drafted,MLB_Signed,MLB_ETA,MLB_FV,MLB_Blurb,*mi*,mi_team,mi_teamRank,mi_grade,mi_eta,mi_FV,*MLB_PRO*,MLB_OrgRank,MLB_OvrRank,*MLB_DRAFT*,MLB_Grade,MLB_Commit,*OFP*,FG_Hitters_pOFP,FG_Hitters_fOFP,MLB_Hitters_OFP,FG_Pitchers_pOFP,FG_Pitchers_fOFP,MLB_Pitchers_OFP,*BONUS_OFP*,MaxVelo_Bonus,FastballRPM_Bonus,BreakingRPM_Bonus,Athleticism_Bonus,Performance_Bonus,Trend_Bonus,*FG_HIT*,Hit_present,GamePower_present,RawPower_present,Speed_present,Field_present,Throws_present,Hit_future,GamePower_future,RawPower_future,Speed_future,Field_future,Throws_future,*FG_PITCH*,TJ_Date,Fastball_RPM,Breaking_RPM,Command_present,Fastball_present,Changeup_present,Curveball_present,Slider_present,Cutter_present,Splitter_present,Command_future,Fastball_future,Changeup_future,Curveball_future,Slider_future,Cutter_future,Splitter_future,*MLB_HIT*,hit,power,run,arm,field,*MLB_PITCH*,fastball,change,curve,slider,cutter,splitter,other,control,NSBL_Team,NSBL_Salary,NSBL_Year
144,162,261,135,"""48.5""","""47.3""","""45.0""","""53.6""","""50.0""","""53.9""","""|""","""Anthony""","""Kay""",2020,"""25.2""","""LHP""","""L""","""L""","""72""","""218""","""professional""",180,4,"""|""",1724,641743,"""kay_anthony""",20387,"""sa738470""","""|""",,,8,,"""UConn""",,,"""TOR""",1,,,,2020,45,"""1aaC76-TmjE""",,"""Twenty-one months elapsed between when Kay signed his pro contract and when he finally threw a pitch in affiliated ball. UConn rode him hard during his junior year in Storrs. He faced 36 hitters in a March game the Huskies won 18-1. During conference tournament play, Kay threw a complete game, then pitched again during the tournament on three days rest; he threw 90 pitches amid an hour-long lightning delay. That heavy usage made it unsurprising when he blew out in the fall of 2016.   When Kay finally returned, he looked markedly different than he did in college, when he was a lefty changeup monster with mediocre velocity. Kay's fastball ticked up and now sits at about 93 mph instead of peaking there, and his two-plane curveball got better. His once-dominant changeup regressed but is still comfortably average, and he has great feel for locating it down, and to his arm side. He was shut down late last year with a back/side issue, so perhaps there's some extra injury risk here, but otherwise this is a major league-ready, strike-throwing No. 4/5 starter look.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""50.0""","""53.9""",,"""|""",0.5000,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2400,2450,50,50,50,50,,,,55,50,55,55,,,,"""|""",,,,,,"""|""",,,,,,,,,"""ATL""",0.500,"""XXX"""
145,163,262,136,"""48.5""","""47.3""","""45.0""","""53.6""","""50.0""","""53.9""","""|""","""Shane""","""McClanahan""",2020,"""23.1""","""LHP""","""L""","""L""","""73""","""200""","""professional""",180,4,"""|""",2452,663556,"""mcclanahan_shane""",,"""sa3008547""","""|""",,,10,,"""USF""","""AA""",,"""TBR""",,,,,2022,45,"""ntk-CU1Bo6A""",,"""Throughout his late high school and early college (which was paused by a Tommy John) careers, McClanahan's stuff climbed from the mid-80s to the mid-90s. In the first start of his draft year, he hit 100 mph and flashed above average secondary stuff, which put him among the draft's top prospects right out of the gate. But things started to unravel from there. A finger injury, bad weather, fluctuating stuff, frustrating control, and questions about his maturity all contributed to a draft-day tumble to pick No. 31 and the hometown Rays.   A year later, those concerns seem trite. A more consistent, balanced delivery enabled McClanahan to throw more strikes and he absolutely carved A-ball. He got especially hot over a nine-game stretch at Hi-A, where he walked just eight over 49 innings. I still have McClanahan evaluated as a reliever. These are improvements compared to what McClanahan was doing later in 2018, yes, but I still think the command and third pitch fall short of what's acceptable for a starter. But I also think the fastball/breaking ball combo fits like a glove in a high-leverage relief role.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""50.0""","""53.9""",,"""|""",1.5000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2300,2700,40,65,45,55,,,,45,65,50,60,,,,"""|""",,,,,,"""|""",,,,,,,,,"""SF""",0.500,"""XXX"""
146,132,47,795,"""48.5""","""48.4""","""50.0""","""47.0""","""33.6""","""48.2""","""|""","""Ivan""","""Herrera""",2020,"""20.0""","""C""","""R""","""R""","""72""","""190""","""professional""",200,4,"""|""",2951,671056,,,"""sa3003191""","""|""",105,,4,,"""Panama""","""A+""",,"""STL""",,,,,2023,50,""" ""","""Herrera is an advanced teenage catcher with surprising top-end power.""","""When we began sourcing data on the Cardinals system, we weren't aware of a max exit velocity for a teenager in excess of 109 mph (Kristian Robinson, Marco Luciano, Luis Toribio) -- until we learned of Herrera's. It was surprising considering Herrera is physically quite modest, and looked sluggish at times during the Fall league, but by that point he had played in three times as many games as he had the year before, and was likely exhausted. Regular season Herrera was a little leaner, twitchy, and athletic, and was an advanced defender with a mature approach at the plate. He also hit .286/.381/.423 as a 19-year-old catcher in the Midwest League. This guy checks all the proverbial boxes and looks like a well-rounded everyday catching prospect.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""33.6""","""48.2""",,,,,"""|""",,,,,,0.0,"""|""",25,25,50,30,45,50,50,40,55,30,55,50,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
147,127,48,855,"""48.5""","""48.5""","""50.0""","""46.1""","""38.2""","""46.8""","""|""","""Ezequiel""","""Duran""",2020,"""21.0""","""2B""","""R""","""R""","""71""","""185""","""professional""",200,4,"""|""",3008,,,,"""sa3005271""","""|""",85,,4,,"""Dominican Republic""","""A-""",,"""NYY""",,,,,2022,50,,"""Duran mashed in the Penn League and projects as a shift-aided infielder with uncommon power for someone who can stand at second base.  ""","""Duran bounced back after his horrendous 2018 and hit for power in the Penn League as a 20-year-old. He's a stocky guy who only really fits at second base, and as he continues to age he'll likely only be able to stay there with the aid of good defensive positioning. But boy, does he have power. Whether his contact and approach issues will hinder his ability to get to it in games is debatable. If he overcomes them, he has everyday ability.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""38.2""","""46.8""",,,,,"""|""",,,,,,0.0,"""|""",30,35,55,40,40,45,40,55,60,35,45,45,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
148,241,416,44,"""48.4""","""45.8""","""42.0""","""55.5""","""54.4""","""55.6""","""|""","""Emmanuel""","""Clase""",2020,"""22.2""","""RHP""","""R""","""R""","""74""","""206""","""professional""",168,4,"""|""",2706,661403,,21032,"""sa873427""","""|""",,,15,,"""Dominican Republic""","""MLB""",,"""CLE""",1,,,,2020,42,"""SvtUnSGGEK4""",,"""You probably already know about Clase, whose cutting fastball sit around 99 mph and touched 102.7 during a tongue-burning 23-inning big league cup of coffee last year. The Rangers pilfered him from San Diego, straight up, for Brett Nicholas. When Clase was announced as the PTBNL for Nicholas in May of '18, he hadn't yet pitched that year. By that fall he was sitting in the upper-90s with natural cut. His 40-man timeline and relative inexperience were likely part of why San Diego was willing to move him.   Cleveland acquired him as part of the Corey Kluber trade in the offseason. Since then, Clase hasn't thrown a pitch but his evaluation has taken a hit. He was set to miss eight-to-12 months with a severely strained lat, then tested positive for the PED Boldenone, a chemical doppelgnger for testosterone. He'll miss 80-games. I still have Clase projected in high-leverage relief but now he's perhaps a whole extra year from the big leagues if the length of the season mimics that of his suspension.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""54.4""","""55.6""",,"""|""",2.0000,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2500,2500,40,80,,,50,55,,40,80,,,55,55,,"""|""",,,,,,"""|""",,,,,,,,,,,
149,175,259,155,"""48.3""","""47.1""","""45.0""","""53.3""","""47.2""","""53.9""","""|""","""Ethan""","""Small""",2020,"""23.3""","""LHP""","""L""","""L""","""75""","""214""","""professional""",180,4,"""|""",2747,663629,"""small_ethan""",,"""sa3011621""","""|""",,,4,,"""Mississippi State""","""A""",,"""MIL""",1,,,,2021,45,"""dvl3MjEY7LY""",,"""Small is a mechanical doppelgnger for Clayton Kershaw and, like late-career Kershaw, he's blowing fastballs with mediocre velocity past opposing hitters because he hides the ball well and creates pure backspin, helping it carry at the top of the strike zone. Small has a bat-missing changeup but needs to find a better breaking ball to really max out as a prospect. He could be a 50 FV, league-average starter if he does, but otherwise is likely to slot toward the back of a rotation.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""47.2""","""53.9""",,"""|""",0.5000,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2200,2400,45,50,55,40,,,,55,55,60,45,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
150,152,137,221,"""48.3""","""47.6""","""47.0""","""52.4""","""33.6""","""54.1""","""|""","""Noelvi""","""Marte""",2020,"""18.6""","""SS""","""R""","""R""","""73""","""180""","""professional""",188,4,"""|""",2317,682622,,,"""sa3008745""","""|""",,,6,,"""Dominican Republic""","""R""",,"""SEA""",1,,,,2023,47,"""24XWJlBKDh0""",,"""When it comes to both the broad, back-of-the-house view of his amateur profile and his promotion/big league time horizon, Marte's career has mimicked Julio Rodriguez's so far. He was a bigger, more physical signee than is typical for the international market, the sort most teams would not hesitate to debut in domestic rookie ball. And like Rodriguez, the Mariners allowed Marte to spend his first pro summer dominating competition that simply didn't challenge him (the average DSL fastball velo last year was 88 mph), which led to a .309/.371/.511 line. Marte had a chance to earn an aggressive assignment with a great 2020 spring (probably not Low-A, but perhaps a summer Northwest League placement), putting him on a relative fast track for a teenage hitter, though like the rest of baseball, that possibility in now on hold.   From an individual tools and skills perspective, Marte's peers are elite high school players. As an amateur, there was uncertainty surrounding his hands, actions, and general ability to stay on the infield, but pro looks have been more favorable, backed by enough arm strength to hide potential future range deficiencies. My previous research into shortstop size has shown that most teenage prospects gain about 30 pounds between when they're 18 and 21 years old, which puts Marte's baseline body projection in the Willy Adames/Trevor Story realm, or about 210 pounds. So long as his hands have indeed improved, that's a pretty favorable comp for his body/range-based fit at short. It means there's Goldilocks Zone power/defensive spectrum potential here, as Marte already has 50-grade raw power at age 18 and will probably have at least a full grade more at maturity. His TrackMan power metrics (they're over on The Board) are in the 40/45 range right now because Marte's swing elements are not always well-timed. They are, however, very athletic. The big leg kick (which Marte is balanced enough to utilize), the little bit of bat wrap to create some loop and lift, and the ability to move the barrel around the zone are all encouraging swing elements, but we really don't know a lot about Marte's bat-to-ball skills right now because he just hasn't faced good pitching yet. There's clearly huge ceiling here and I have Marte in the same FV tier Zac Veen, my highest-ranked prep amateur right now.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""33.6""","""54.1""",,,,,"""|""",,,,1.0,,0.0,"""|""",20,25,50,60,40,60,50,60,60,55,50,60,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
151,146,260,40,"""48.3""","""47.9""","""45.0""","""55.9""","""50.9""","""56.4""","""|""","""Miguel""","""Yajure""",2020,"""22.1""","""RHP""","""R""","""R""","""73""","""175""","""professional""",180,4,"""|""",2947,664337,,,"""sa873213""","""|""",,,11,,"""Venezuela""",,,"""NYY""",,,,,2021,45,,,"""He looked like a cutter/changeup pitchability guy a year ago, but Yajure has since enjoyed a velo spike and was bumping some 97s late last summer as he climbed all the way to Double-A. A Yankees source credits the velo bump to a foundation laid during Yaure's 2017 Tommy John rehab. Additionally, Yajure's changeup has become a plus pitch. It's a firm, sinking offering in the upper-80s. He works his cutter away from righties for swings and misses, and can dump his curveball in for strikes the second and third time through the order to get ahead of hitters with something new. His huge 60-inning workload increase from 2018 to 2019 was a bit surprising, and assuming Yajure doesn't come out of the chute sitting 88-92 from the aftershocks of that uptick, he's tracking like a 50 FV arm.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""50.9""","""56.4""",,"""|""",0.7500,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2250,2600,50,50,50,50,,55,,60,55,55,50,,60,,"""|""",,,,,,"""|""",,,,,,,,,,,
152,140,138,267,"""48.3""","""48.0""","""47.0""","""52.0""","""44.1""","""52.7""","""|""","""Cole""","""Winn""",2020,"""20.5""","""RHP""","""R""","""R""","""74""","""190""","""professional""",188,4,"""|""",2337,668390,"""winn_cole""",,"""sa3008662""","""|""",,,7,,"""Orange Lutheran HS (CA)""","""A""",,"""TEX""",,,,,2023,47,"""JTWvLDwruWs""",,"""Because he had advanced command and application of a four-pitch mix, Winn was viewed as a polished cut above his high school pitching peers in the 2018 draft, arguably a prospect teams could run to for safety as if he were a college arm because of how advanced he was. He didn't pitch the summer after he was drafted as a workload precaution, threw a little in the fall, then was uncharacteristically wild the following year, walking 39 hitters in 69 innings. Feel for his release point had evaporated and Winn spiked an awful lot of non-competitive secondary pitches in the dirt. His stuff is still good, and his repertoire is still quite robust and visually good-looking, but Winn's stock is down due to this unexpected speed bump.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""44.1""","""52.7""",,"""|""",0.5000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2350,2500,35,50,45,50,45,,,50,55,55,55,50,,,"""|""",,,,,,"""|""",,,,,,,,,"""TOR""",0.500,"""XXX"""
153,126,139,162,"""48.3""","""48.5""","""47.0""","""53.2""","""48.2""","""53.6""","""|""","""Bryan""","""Mata""",2020,"""21.1""","""RHP""","""R""","""R""","""75""","""175""","""professional""",188,4,"""|""",2249,667356,,,"""sa917784""","""|""",,,3,,"""Venezuela""","""AA""",,"""BOS""",-1,,,,2021,47,"""_xTejFK8I5g""",,"""It's fairly important to view Mata's performance through an age-appropriate lens. The Red Sox hit the accelerator on his development early (a common occurrence in this system) and sent Mata right to full season ball in 2017 when he was just 18-years old. That gives context to Mata's 2018 struggles; he couldn't throw strikes (he had a 17% walk rate), his stuff was up and down throughout the year, and he dealt with a back injury. Several of those things improved in 2019. More purposeful deployment of a robust, four-pitch mix dropped Mata's walk rate to an acceptable 9%, and his stuff was more consistent even though he missed a month with a shoulder strain. And that stuff? A sinker up to 99 (it won't miss bats, but it's tough to square up), a two-plane breaking ball that he'll throw for strike one or as a putaway pitch, a changeup with movement that mirrors the sinker, and a cutter/slider that Mata is still in the early stages of harnessing.   Because the fastball is more of a sinker, secondary execution and command will be necessary for him to miss as many bats as possible, and there are forces opposing one another when it comes to projecting his command. On the one hand, he's only 20 and has huge stuff. On the other, he's at best a fringe athlete, and has a relieverish delivery. This could break in a number of different ways, but unless Mata keeps getting hurt or his control totally unravels like it did two seasons ago, he's going to be a core part of a big league staff. For now, we expect that to be in a 120ish inning capacity.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""48.2""","""53.6""",,"""|""",1.0000,0.0000,0.0000,-1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2500,2600,40,55,50,50,,50,,50,55,55,55,,55,,"""|""",,,,,,"""|""",,,,,,,,,"""SF""",0.500,"""XXX"""
154,205,257,120,"""48.2""","""46.5""","""45.0""","""53.8""","""34.5""","""55.5""","""|""","""Hudson""","""Head""",2020,"""19.1""","""CF""","""L""","""L""","""73""","""175""","""professional""",180,4,"""|""",2859,687431,"""head_hudson""",,"""sa3010889""","""|""",,,7,,"""Churchill HS (TX)""","""R""",,"""SDP""",2,,,,2023,45,,,"""The Padres have been unafraid to stick their necks out and use high picks on high school players who weren't fixtures on the summer showcase circuit for one reason or another (injury, participation in football, etc.), players who may be underscouted (and perhaps undervalued) by clubs who are more comfortable with prep hitters who've performed against curated competition. The results have been mixed. Mason House and Sam Keating are not on this prospect list, while Blake Hunt has climbed it, and Mason Thompson has yo-yo'd. Now 2019 draftees Hudson Head and Josh Mears enter the fray, with Head doing so after receiving a $3 million bonus, a record for a third-rounder.   The pitching he saw in the AZL was the best he's seen in his entire life, and Head not only allayed concerns about that competition-quality chasm by hitting .283/.383/.417, he also occasionally did some freaky, elite stuff that got me very excited about his prospectdom. Head is ambidextrous, and swings and throws a baseball with his left hand but quarterbacked primarily with his right, occasionally using his left when he rolled out that way. For someone with so little high-level experience, his bat control is remarkable. A pronounced arm bar caused him to be late on some of the good velo I've seen him face but Head's feel for opposite field contact enabled him to strike those pitches with authority anyway. I think he needs polish from a mechanical standpoint, but there's rare natural bat-to-ball proclivity happening here. There's also much more measurable power than I would have guessed -- Head's exit velos last summer were more akin to those of heavy-hitting corner guys his age than someone who looks like a wiry leadoff sort. Still a high-variance prospect because of his short track record of hitting, Head has a shot to be a leadoff-hitting center fielder, an above-average regular.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""34.5""","""55.5""",,,,,"""|""",,,,2.0,,0.0,"""|""",25,20,45,60,45,55,60,45,55,60,55,55,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
155,189,258,196,"""48.2""","""46.8""","""45.0""","""52.7""","""45.6""","""53.3""","""|""","""Luis""","""Gil""",2020,"""22.0""","""RHP""","""R""","""R""","""75""","""175""","""professional""",180,4,"""|""",2598,661563,,,"""sa877821""","""|""",,,10,,"""Dominican Republic""",,,"""NYY""",,,,,2021,45,,,"""Gil's velvety smooth delivery belies his control problems, which are concerning and will likely banish him to the bullpen. Mechanical ease is often an indicator for scouts to project on command/control but there are Neftal Feliz sorts of exceptions, and I think that's what we've got here. The effortlessness with which Gil generates upper-90s heat is unbelievable, but his release point waivers and he walks guys.   His presence on the 40-man makes it more likely Gil gets fast-tracked as a reliever, though he should continue starting a) just in case things click, because the ceiling is huge if it does and b) the reps will help sharpen his secondary stuff, which is good but not quite as good as his dominant fastball. There are very few big league pitchers with this combo of velocity and spin and a bunch of them throw cutters. Gil's heater had a 20% swinging strike rate last year and would probably be harder if he were in the bullpen. He's going to have a dominant offering that I think eventually spearheads a high-leverage relief future.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""45.6""","""53.3""",,"""|""",1.2500,0.1667,0.1667,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2550,2750,30,70,40,,50,,,40,70,50,,60,,,"""|""",,,,,,"""|""",,,,,,,,,,,
156,158,133,343,"""48.2""","""47.4""","""47.0""","""51.2""","""35.0""","""52.7""","""|""","""Francisco""","""Alvarez""",2020,"""18.5""","""C""","""R""","""R""","""71""","""220""","""professional""",188,4,"""|""",2324,682626,,,"""sa3010862""","""|""",,,6,,"""Venezuela""","""R""",,"""NYM""",1,,,,2023,47,"""TG-p0lUDzpM""",,"""Young catchers are notoriously slow to develop as they adjust to the physical and mental demands of the position, which often stymies their offensive production. But Alvarez's first pro season was statistically impressive. He only played in 42 games, but he hit .312/.407/.510 (mostly in the Appy League) while playing very good defense and appearing more svelte and conditioned than he had as an amateur.   His swing (his front foot is down very early) could stand to be a little more athletic to take advantage of his movement skills, but he rotates hard anyway and his hitting posture enables him to lift pitches in various locations. The receiving, lateral mobility, and arm strength are all promising on the defensive side, too. Teen catchers are risky and often take forever to develop, but Alvarez's track record of hitting extends back to amateur play, so we're a little more comfortable here. We view him very similarly to the way we viewed Miguel Amaya a few years ago, except Amaya's frame was more obviously projectable.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""35.0""","""52.7""",,,,,"""|""",,,,1.0,,0.0,"""|""",25,25,50,45,45,55,55,50,55,40,55,55,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
157,159,134,330,"""48.2""","""47.4""","""47.0""","""51.3""","""35.5""","""52.7""","""|""","""Luis""","""Matos""",2020,"""18.3""","""CF""","""R""","""R""","""71""","""160""","""professional""",188,4,"""|""",2999,682641,,,"""sa3008756""","""|""",,,5,,"""Venezuela""","""R""",,"""SFG""",1,,,,2024,47,,,"""International Director Joe Salermo and his staff have an eye for bat speed, as Matos is one of several youngsters with lightning-fast wood. He was a DSL All-Star before coming stateside for the homestretch of the AZL, and the Orange Giants dropped him right in the top of their playoff lineup. An outfield collision soon ended his season, though he left the field under his own power holding a towel to his face.   Matos isn't a huge-framed outfielder but he projects for plus raw power at peak anyway, because of his ability to rotate. He also has plus speed and he was selectively aggressive during his brief AZL trial, taking big hacks in hitters counts rather than all the time. It's possible he has underlying issues (breaking ball recognition, expansive approach, any number of things) that we just don't know about yet because rookie-level pitching isn't capable of shedding light on them. But just on tools, Matos belongs in the same general area as most of the top high schoolers from the 2019 draft, which puts him a shade beneath the tier of prospect who'll be on our top 100 list this offseason.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""35.5""","""52.7""",,,,,"""|""",,,,1.0,,0.0,"""|""",25,20,50,60,45,50,50,50,60,60,50,50,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
158,145,135,379,"""48.2""","""47.9""","""47.0""","""50.9""","""45.9""","""51.4""","""|""","""Trevor""","""Rogers""",2020,"""22.5""","""LHP""","""L""","""L""","""78""","""185""","""professional""",188,4,"""|""",2085,669432,"""rogers_trevor""",,"""sa3005423""","""|""",,,8,,"""Carlsbad HS (NM)""","""AA""",,"""MIA""",,,,,2021,47,"""EgPQVpXhSuU""",,"""We were slow to correct our low pre-draft position on Rogers (he turned 20 the fall after he signed and we were skeptical about his breaking ball) as he enjoyed a 2019 breakout at Hi-A, with a 27% K%, 5% BB%, and a promotion to Double-A for his final five starts. The low-80s slurve is still not great and has been usurped by a mid-80s cutter/slider that, considering how quickly Rogers' fastball/changeup control have developed, should enable him to induce weak contact as he hones it. The lack of a traditional breaking ball will likely be a barrier to true mid-rotation performance, and it's more likely that, if Rogers is ever to be a No. 3/4 starter, he does so via continued improvement of a hopefully elite changeup or command, rather than the unlikely addition of a viable breaking ball.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""45.9""","""51.4""",,"""|""",0.5000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2500,2250,45,50,50,,40,45,,55,55,55,,40,50,,"""|""",,,,,,"""|""",,,,,,,,,"""NYM""",0.500,"""XXX"""
159,124,136,94,"""48.2""","""48.6""","""47.0""","""54.3""","""46.1""","""55.0""","""|""","""Matthew""","""Allan""",2020,"""19.1""","""RHP""","""R""","""R""","""75""","""210""","""professional""",188,4,"""|""",2805,682929,"""allan_matthew""",,,"""|""",,,5,,"""Seminole HS (FL)""","""A-""",,"""NYM""",-1,,,,2023,47,,,"""Allan was one of the top pitchers in the 2019 prep class over the summer, then took a big step forward in the spring, touching the high-90s in every start after peaking in the mid-90s over the summer. His fastball and breaking ball were both anywhere from 60 to 70 grade pitches during the spring depending on the day and scout, while his changeup was a 55 at times over the summer, when he also sometimes flashed average command. If you put together the best elements from both versions of Allan, there's a potential ace, but the worry is that either one or the other will the the actual outcome, which is still a solid mid-rotation type.   He's not projectable and is an average athlete, so there are some limits on his upside. He had a rumored $4 million price tag in the draft, which many thought would push him to college, but he ended up changing his asking price and signing for $2.5 million in the third round after throwing a much higher number out to clubs that almost took him at multiple spots in the first. Mets brass are thrilled with their first draft under the new regime and some specifically think Allan is already the best prospect of the group. He could be a top 100 prospect by midseason if he continues his current streak of good health and performance, as his TrackMan figures are very strong.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""46.1""","""55.0""",,"""|""",0.7500,0.0000,0.0000,-1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2450,2600,35,55,45,55,,,,45,60,55,65,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
160,174,256,175,"""48.1""","""47.1""","""45.0""","""53.0""","""49.4""","""53.3""","""|""","""Justin""","""Dunn""",2020,"""24.7""","""RHP""","""R""","""R""","""74""","""210""","""professional""",180,4,"""|""",1718,643290,"""dunn_justin""",19268,"""sa738718""","""|""",,,10,,"""Boston College""","""MLB""",,"""SEA""",1,,,,2020,45,"""wO2TJso58R8""",,"""Scouts and execs see Dunn settling into one of two outcomes: either he ends up living in the mid-90s as a power reliever, or he sits, as he did in 2019, in the low-90s as an innings-eating No. 4/5 starter. Brendan Gawlowski's spring look at Dunn, during which the right-hander sat 92-94 over three innings, is perhaps indicative of the former since Dunn rarely worked with his changeup at a time when most starters are working heavily with their tertiary pitch in preparation for the season. Still, I remain somewhat bullish on Dunn's changeup development. He's had stretches in the past where it's been a plus pitch and it's arguably the best long-term fit with his fastball's tailing/sinking shape. What I'm less optimistic about is Dunn's starter stamina. He looked gassed late last year and while into the mid-90s early, was not throwing as hard in subsequent innings this spring. Ideally his fastball lives in at least the 93-96 mph range out of the bullpen and Dunn can be a dynamic, three-pitch reliever. I have his future fastball grade projected as if that's the outcome.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""49.4""","""53.3""",,"""|""",0.2500,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2200,2450,45,50,50,,55,,,50,55,55,,55,,,"""|""",,,,,,"""|""",,,,,,,,,"""CHA""",0.500,"""XXX"""
161,113,46,740,"""48.1""","""49.1""","""50.0""","""47.7""","""42.3""","""48.2""","""|""","""Jeter""","""Downs""",2020,"""21.8""","""2B""","""R""","""R""","""71""","""180""","""professional""",200,4,"""|""",2088,669023,"""downs_jeter""",,"""sa3004615""","""|""",47,,1,,"""Monsignor Pace HS (FL)""",,,"""BOS""",-1,,,,2022,50,"""613T5IEJ7rk""","""There's not much agreement about which side of the bag Downs will play on, but he's going to hit and play a middle infield spot. He's a high-probability regular.  ""","""Downs has been a polished, advanced hitter for his age dating way back to high school. He's not a shortstop for me and, in my opinion, his thicker lower half means his likely future home is as a shift-aided second baseman at maturity. He's short back to the ball with some pop, his swing is bottom-hand heavy, which leaves him somewhat vulnerable to velo in on his hands, but he's selective enough to swing at pitches he can damage. Despite the patience and bat control, I think he ends up with closer to average contact ability but fully actualized power production, a well-rounded offensive package that cleanly profiles at second base. His average exit velo was 88 mph last year, and there's not a lot of room on the body, so that might be all.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""42.3""","""48.2""",,,,,"""|""",,,,-1.0,,0.0,"""|""",40,40,50,45,40,50,50,50,50,40,45,50,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,"""MIN""",0.500,"""XXX"""
