player_name,teams,end_year,start_year,years,ip,k_9,bb_9,k_bb,hr_9,FIP,park_FIP,FIP_minus,FIP_WAR,ERA,park_ERA,ERA_minus,ERA_WAR
Casey Fossum,CLV/PHI/NYA,2009,2005,4,484.4,6.45,3.86,1.72,1.10,4.784,4.741,104.37,2.86,5.003,4.960,109.38,1.73
Casey Janssen,Tor/Tex/Det,2016,2005,11,1071.1,6.30,2.16,2.94,1.00,4.059,4.017,93.22,9.80,4.244,4.202,97.33,7.57
Casey Kelly,Cin,2018,2018,1,53.0,6.79,2.72,2.50,2.38,5.977,5.957,156.65,-1.26,6.280,6.259,164.59,-1.44
Casey Sadler,Min,2020,2015,2,52.0,8.31,2.08,4.00,1.39,4.027,4.014,103.74,0.04,2.770,2.761,71.34,0.90
Casey Weathers,NYA,2012,2012,1,16.0,7.88,12.94,0.61,1.13,7.509,7.434,183.01,-0.61,6.190,6.129,150.87,-0.37
Cesar Carrillo,DET,2006,2006,1,31.7,5.68,4.26,1.33,1.42,5.401,5.365,123.94,-0.08,10.800,10.728,247.83,-1.65
Cesar Jimenez,Bos/Flo/TB,2011,2010,2,74.4,7.38,3.87,2.00,0.48,3.537,3.546,87.42,0.67,3.754,3.754,93.27,0.46
Cesar Ramos,Phi/Hou,2018,2013,6,683.3,7.18,2.59,2.96,0.94,3.834,3.877,102.08,3.79,4.045,4.090,107.80,1.92
Cesar Valdez,Tam,2017,2017,1,22.7,6.35,1.99,3.20,0.79,3.684,3.746,96.94,0.10,2.380,2.420,62.63,0.50
Cha Seung Baek,Cin,2007,2005,2,142.0,5.32,3.42,1.56,1.78,5.883,5.864,127.09,-1.60,5.830,5.811,125.95,-1.52
Chad Bettis,Tor/Mil,2018,2012,3,180.4,6.04,3.79,1.60,1.25,4.979,4.960,126.28,-0.47,5.638,5.614,141.94,-1.82
Chad Billingsley,Mia/ChA/LAA/ANA/SEA/Flo,2015,2005,11,1667.0,7.59,3.45,2.34,0.94,4.086,4.125,99.01,15.52,4.126,4.163,99.75,15.17
Chad Bradford,NYA/Oak,2010,2005,5,341.3,5.27,2.93,2.25,0.79,4.253,4.242,95.32,1.72,4.748,4.735,106.53,-0.24
Chad Cordero,ARI/BAL/Mil/FLA,2009,2005,5,420.1,7.29,2.49,2.98,1.22,4.296,4.256,95.39,2.10,3.364,3.332,74.51,6.81
Chad Durbin,LAA/WAS,2014,2009,5,308.5,7.35,3.58,2.10,1.05,4.315,4.351,108.14,-0.42,4.110,4.144,103.09,0.37
Chad Gaudin,Mil/NYN/HOU/PHI/Was,2015,2005,10,1102.8,7.62,3.23,2.50,1.01,4.104,4.145,99.53,6.24,4.382,4.426,106.74,2.29
Chad Green,Ari,2020,2015,4,268.0,11.85,2.82,4.42,0.74,2.558,2.524,65.56,6.09,3.695,3.646,94.60,2.09
Chad Jenkins,Atl,2015,2015,1,30.0,5.70,1.50,3.80,0.90,3.748,3.761,99.37,0.09,4.500,4.515,119.30,-0.20
Chad Kuhl,Mil/Phi,2019,2017,2,156.7,6.61,3.50,1.91,1.15,4.617,4.595,118.63,0.07,5.284,5.260,135.84,-1.16
Chad Orvella,STL/KC,2008,2006,2,90.0,7.70,3.80,2.05,1.20,4.494,4.484,103.34,0.07,5.703,5.690,131.10,-1.19
Chad Paronto,ARI/ATL/AZ,2009,2005,5,211.3,5.32,3.58,1.74,1.06,4.876,4.837,107.63,-0.31,5.452,5.410,120.71,-1.74
Chad Qualls,Bal/Phi/Atl/Det/Col/Hou,2017,2005,12,831.2,6.76,2.14,3.33,1.14,4.132,4.159,99.77,2.30,3.737,3.762,90.64,6.42
Chan Ho Park,SD/CHA/Det/AZ/NYY,2011,2005,5,500.1,6.21,3.83,1.68,0.97,4.562,4.537,103.91,3.66,6.426,6.385,145.24,-5.89
Charlie Furbush,Bal/NYN/Bos,2017,2013,5,300.3,11.60,2.73,4.51,0.54,2.328,2.313,60.60,6.77,3.266,3.237,84.83,3.10
Charlie Haeger,LAA/BAL,2010,2005,4,384.7,6.06,4.47,1.36,0.73,4.550,4.526,99.47,1.22,4.682,4.659,102.47,0.64
Charlie Morton,KC/StL/Det/Tex/Bos/Flo/FLA/CHN,2020,2009,11,1315.3,7.45,3.24,2.37,0.94,4.009,3.980,101.22,11.50,3.843,3.815,97.23,14.65
Chase Anderson,Phi/Mil/ChA,2018,2015,4,607.3,7.47,2.55,2.99,1.13,4.011,3.966,105.59,4.10,4.356,4.309,114.74,1.48
Chase Whitley,Tor,2018,2016,3,349.0,7.04,2.86,2.53,1.34,4.537,4.583,121.49,-0.22,5.313,5.367,141.88,-3.23
Chasen Shreve,Min/LAA/Was,2019,2016,4,284.0,10.87,3.96,2.93,1.49,4.253,4.255,112.58,-0.96,4.120,4.119,109.38,-0.44
Chaz Roe,Cle/Tor/Tam/StL/LAA/NYN,2019,2014,6,425.5,8.89,3.47,2.74,0.87,3.643,3.694,97.75,1.66,3.554,3.601,95.38,2.21
Chien-Ming Wang,Was/OAK/CLE/TBR/Tam/TB,2012,2005,8,1414.0,4.56,2.72,1.69,0.73,4.244,4.289,99.01,14.10,3.878,3.917,90.58,20.73
Chin-hui Tsao,PIT,2009,2006,3,155.4,6.26,3.07,2.05,1.27,4.804,4.852,110.66,-0.44,4.522,4.567,104.16,0.07
Chris Archer,Mia/Ari/Bal,2020,2013,8,1071.3,9.57,3.18,3.20,1.03,3.622,3.586,94.60,11.38,3.949,3.910,103.27,6.85
Chris Bassitt,KC/Tex/Phi,2020,2015,5,598.0,7.48,3.49,2.19,1.16,4.358,4.329,114.39,1.66,4.352,4.324,114.18,2.00
Chris Beck,ChN,2015,2015,1,24.0,4.50,3.75,1.20,0.75,4.548,4.518,119.38,-0.16,2.630,2.613,69.03,0.44
Chris Begg,ChN,2007,2005,2,114.0,3.32,2.68,1.24,1.26,5.344,5.309,115.06,0.17,5.210,5.175,112.17,0.34
Chris Booker,CIN,2006,2006,1,68.3,8.96,4.35,2.06,0.79,3.791,3.778,87.27,0.62,3.820,3.807,87.95,0.60
Chris Bootcheck,LAA,2013,2010,3,255.6,6.48,2.68,2.55,1.27,4.554,4.631,112.71,0.03,4.753,4.834,117.86,-0.59
Chris Britton,PHI/TB/TEX/TBR,2009,2005,4,316.0,7.12,3.85,1.94,1.05,4.576,4.540,101.07,0.62,5.241,5.205,116.17,-1.85
Chris Capuano,Tor/KC/Mil/LAA/ANA,2016,2005,11,1553.0,7.13,2.65,2.91,0.94,3.925,3.939,95.16,14.73,4.014,4.028,97.45,13.17
Chris Carpenter,Was/Pit/Det/BOS/Tor,2013,2005,9,1748.4,6.82,2.32,3.08,1.06,4.059,4.061,95.11,20.16,4.039,4.041,94.38,21.18
